Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
aplygen_j13n-saas,Poor Man's Search Engine,core/src/main/java/io/j13n/core/commons/jooq/dao/AbstractDAO.java,228,228,case LIKE -> field.like(fc.getValue().toString());,Using LIKE with a user-provided value may perform full-text search if the value contains wildcards (% or _). Consider using a dedicated full-text search engine like Elasticsearch or PostgreSQL's full-text search capabilities instead.
aplygen_j13n-saas,Poor Man's Search Engine,core/src/main/java/io/j13n/core/commons/jooq/dao/AbstractDAO.java,229,229,"case STRING_LOOSE_EQUAL -> field.like(""%"" + fc.getValue() + ""%"");",Using LIKE with wildcards on both sides ('%value%') performs inefficient full-text search that cannot use indexes. Consider using a dedicated full-text search solution like PostgreSQL's tsvector/tsquery or Elasticsearch.
aplygen_j13n-saas,Implicit Columns,core/src/main/java/io/j13n/core/commons/jooq/dao/AbstractDAO.java,304,304,"dslContext.select(Arrays.asList(table.fields())).from(table),",Selecting all columns from a table using table.fields() fetches every column regardless of what's actually needed. Explicitly specify only the required columns to reduce data transfer and improve query performance.
aplygen_j13n-saas,Implicit Columns,core/src/main/java/io/j13n/core/dao/FileSystemDao.java,170,171,"Result<CoreFileSystemRecord> result = this.context
                .selectFrom(CORE_FILE_SYSTEM)","Using selectFrom() fetches all columns from CORE_FILE_SYSTEM table, but only a subset of fields are actually needed (ID, NAME, PARENT_ID based on usage). Consider using select() with only the required columns to improve query performance."
aplygen_j13n-saas,Implicit Columns,core/src/main/java/io/j13n/core/dao/FileSystemDao.java,236,237,"var records = this.context
                .selectFrom(CORE_FILE_SYSTEM)","Using selectFrom() retrieves all columns from CORE_FILE_SYSTEM, but only specific fields (ID, NAME, FILE_SYSTEM_TYPE, SIZE, CREATED_AT, UPDATED_AT) are used for FileDetail. Use select() with explicit column list to reduce data transfer."
aplygen_j13n-saas,Poor Man's Search Engine,core/src/main/java/io/j13n/core/dao/FileSystemDao.java,231,231,"if (!StringUtil.safeIsBlank(filter)) conditions.add(CORE_FILE_SYSTEM.NAME.like(""%"" + filter + ""%""));",Using LIKE with wildcards on both sides ('%filter%') for text filtering performs a full table scan and cannot use indexes efficiently. Consider using a full-text search index or database-specific text search capabilities for better performance.
aplygen_j13n-saas,Implicit Columns,core/src/main/java/io/j13n/core/dao/UserDAO.java,23,23,.selectFrom(CORE_USERS),"Using selectFrom() fetches all columns from the CORE_USERS table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the User object."
aplygen_j13n-saas,ID Required,core/src/main/java/io/j13n/core/jooq/core/tables/CoreAuthorities.java,63,63,"public final TableField<CoreAuthoritiesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).defaultValue(DSL.field(DSL.raw(""core.core_next_id()""), SQLDataType.BIGINT)), this, """");","The table uses a generic synthetic 'id' column as primary key, but there's already a unique constraint on 'name' (CORE_AUTHORITIES_NAME_KEY) which could serve as a natural primary key since authority names are inherently immutable and unique. Consider using 'name' as the primary key or renaming 'id' to something more descriptive like 'authority_id'."
aplygen_j13n-saas,Keyless Entry,core/src/main/java/io/j13n/core/jooq/core/tables/CoreAuthorities.java,78,78,"public final TableField<CoreAuthoritiesRecord, Long> CREATED_BY = createField(DSL.name(""created_by""), SQLDataType.BIGINT, this, """");",The 'created_by' column appears to reference a user ID but lacks a foreign key constraint to the core_users table (CORE_USERS_PKEY exists). Add a foreign key constraint referencing CoreUsers.ID to ensure referential integrity.
aplygen_j13n-saas,Keyless Entry,core/src/main/java/io/j13n/core/jooq/core/tables/CoreAuthorities.java,88,88,"public final TableField<CoreAuthoritiesRecord, Long> UPDATED_BY = createField(DSL.name(""updated_by""), SQLDataType.BIGINT, this, """");",The 'updated_by' column appears to reference a user ID but lacks a foreign key constraint to the core_users table (CORE_USERS_PKEY exists). Add a foreign key constraint referencing CoreUsers.ID to ensure referential integrity.
