Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Blackdread_rest-filter,Poor Man's Search Engine,src/main/java/org/blackdread/lib/restfilter/jooq/JooqFilterUtil.java,122,124,"condition = condition.and(filter.isIgnoreCase() ?
                field.containsIgnoreCase(filter.getContains()) :
                field.contains(filter.getContains()));","The `contains` and `containsIgnoreCase` methods use LIKE with wildcards for substring matching, which cannot leverage standard indexes and performs poorly on large datasets. Consider using a full-text search index (e.g., PostgreSQL's tsvector/tsquery or database-specific FTS) for efficient text searching."
Blackdread_rest-filter,Poor Man's Search Engine,src/main/java/org/blackdread/lib/restfilter/jooq/JooqFilterUtil.java,127,129,"condition = condition.and(filter.isIgnoreCase() ?
                field.notContainsIgnoreCase(filter.getNotContains()) :
                field.notContains(filter.getNotContains()));","The `notContains` and `notContainsIgnoreCase` methods use LIKE with wildcards for substring matching, which results in full table scans and poor performance. Consider using full-text search capabilities provided by your database instead."
Blackdread_rest-filter,Poor Man's Search Engine,src/main/java/org/blackdread/lib/restfilter/jooq/JooqFilterUtil.java,161,161,condition = condition.and(field.containsIgnoreCase(filter.getContains()));,"The `containsIgnoreCase` method translates to a case-insensitive LIKE query with wildcards, which cannot use indexes efficiently. Consider implementing full-text search using database-native features like PostgreSQL's FTS or Elasticsearch."
Blackdread_rest-filter,Poor Man's Search Engine,src/main/java/org/blackdread/lib/restfilter/jooq/JooqFilterUtil.java,164,164,condition = condition.and(field.notContainsIgnoreCase(filter.getNotContains()));,"The `notContainsIgnoreCase` method uses LIKE with wildcards for negated substring matching, leading to inefficient full table scans. Consider using full-text search indexes with negation support for better performance."
Blackdread_rest-filter,ID Required,src/test/java/org/blackdread/lib/restfilter/demo/jooq/tables/ChildEntity.java,87,87,"public final TableField<ChildEntityRecord, Long> ID = createField(""ID"", org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the entity it identifies. Consider renaming it to 'child_entity_id' or another meaningful name that reflects the table's purpose."
Blackdread_rest-filter,Keyless Entry,src/test/java/org/blackdread/lib/restfilter/demo/jooq/tables/ChildEntity.java,137,137,"public final TableField<ChildEntityRecord, Long> PARENT_ID = createField(""PARENT_ID"", org.jooq.impl.SQLDataType.BIGINT, this, """");","The PARENT_ID column appears to reference the ParentEntity table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing ParentEntity.ID to ensure data consistency."
Blackdread_rest-filter,ID Required,src/test/java/org/blackdread/lib/restfilter/demo/jooq/tables/ParentEntity.java,87,87,"public final TableField<ParentEntityRecord, Long> ID = createField(""ID"", org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");","The primary key column is named just 'ID', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'parent_entity_id' or another descriptive name that reflects the table it belongs to."
Blackdread_rest-filter,Implicit Columns,src/test/java/org/blackdread/lib/restfilter/demo/JooqChildEntityQueryService.java,80,80,return create.select(CHILD_ENTITY.fields()),"Using `CHILD_ENTITY.fields()` selects all columns from the table, which can fetch unnecessary data and impact performance. Consider explicitly listing only the columns needed for the query result."
Blackdread_rest-filter,Implicit Columns,src/test/java/org/blackdread/lib/restfilter/demo/JooqChildEntityQueryService.java,93,93,return create.select(CHILD_ENTITY.fields()),"Using `CHILD_ENTITY.fields()` selects all columns from the table, which can fetch unnecessary data and impact performance. Consider explicitly listing only the columns needed for the query result."
Blackdread_rest-filter,Implicit Columns,src/test/java/org/blackdread/lib/restfilter/demo/JooqChildEntityQueryService.java,107,107,return new PageImpl<>(create.select(CHILD_ENTITY.fields()),"Using `CHILD_ENTITY.fields()` selects all columns from the table, which can fetch unnecessary data and impact performance. Consider explicitly listing only the columns needed for the query result."
