Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Dankoy_jforwarder,ID Required,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/domain/jooq/tables/Chats.java,46,52,"public final TableField<ChatsRecord, UUID> ID =
    createField(
        DSL.name(""id""),
        SQLDataType.VARCHAR(40).nullable(false),
        this,
        """",
        new UUIDConverterJooq());","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey meaning about the entity. Additionally, the table has a natural key candidate in 'chat_id' (BIGINT, NOT NULL) which appears to be a unique identifier from Telegram. Consider renaming the primary key to 'chat_uuid' or using 'chat_id' as the primary key if it's guaranteed to be unique."
Dankoy_jforwarder,Poor Man's Search Engine,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/conditionscreator/TelegramChatConditions.java,24,24,condition = condition.and(CHATS.TYPE.like(chatFilter.type()));,"Using LIKE with an external input parameter that may contain wildcards for full-text search is inefficient and doesn't scale well. Consider using a dedicated full-text search solution like PostgreSQL's tsvector/tsquery or Elasticsearch, or validate that the input is used only for exact or prefix matching."
Dankoy_jforwarder,Poor Man's Search Engine,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/conditionscreator/TelegramChatConditions.java,26,26,condition = condition.and(CHATS.LAST_NAME.like(chatFilter.lastName()));,Using LIKE with an external input parameter that may contain wildcards for full-text search is inefficient and doesn't scale well. Consider using a dedicated full-text search solution or validate that the input is used only for exact or prefix matching.
Dankoy_jforwarder,Poor Man's Search Engine,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/conditionscreator/TelegramChatConditions.java,28,28,condition = condition.and(CHATS.FIRST_NAME.like(chatFilter.firstName()));,Using LIKE with an external input parameter that may contain wildcards for full-text search is inefficient and doesn't scale well. Consider using a dedicated full-text search solution or validate that the input is used only for exact or prefix matching.
Dankoy_jforwarder,Poor Man's Search Engine,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/conditionscreator/TelegramChatConditions.java,30,30,condition = condition.and(CHATS.USERNAME.like(chatFilter.username()));,Using LIKE with an external input parameter that may contain wildcards for full-text search is inefficient and doesn't scale well. Consider using a dedicated full-text search solution or validate that the input is used only for exact or prefix matching.
Dankoy_jforwarder,Poor Man's Search Engine,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/conditionscreator/TelegramChatConditions.java,31,31,condition = condition.and(CHATS.TITLE.like(chatFilter.title()));,Using LIKE with an external input parameter that may contain wildcards for full-text search is inefficient and doesn't scale well. Consider using a dedicated full-text search solution or validate that the input is used only for exact or prefix matching.
Dankoy_jforwarder,Implicit Columns,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooq.java,130,130,"ChatsRecord chatsRecord = dsl.fetchOne(CHATS, condition);","The `fetchOne(CHATS, condition)` method fetches all columns from the CHATS table implicitly. Explicitly specify only the required columns using `select()` with the needed fields."
Dankoy_jforwarder,Implicit Columns,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooq.java,154,154,"ChatsRecord chatsRecord = dsl.fetchOne(CHATS, condition);","The `fetchOne(CHATS, condition)` method fetches all columns from the CHATS table implicitly. Explicitly specify only the required columns using `select()` with the needed fields."
Dankoy_jforwarder,Implicit Columns,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooq.java,179,179,dsl.select().from(CHATS).where(condition).forUpdate().wait(3).fetchOptional();,Using `select()` without specifying columns fetches all columns from the CHATS table. Explicitly list only the columns needed for the operation.
Dankoy_jforwarder,Implicit Columns,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooq.java,198,198,dsl.select().from(CHATS).where(condition).forUpdate().wait(3).fetchOptional();,Using `select()` without specifying columns fetches all columns from the CHATS table. Explicitly list only the columns needed for the operation.
Dankoy_jforwarder,Implicit Columns,telegram_chat_service/src/test/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooqTest.java,119,119,Optional<Record> chatsRecord = dsl.select().from(Chats.CHATS).where(condition).fetchOptional();,"Using `select()` without specifying columns fetches all columns from the CHATS table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Explicitly list the required columns, e.g., `dsl.select(CHATS.ID, CHATS.CHAT_ID, ...).from(Chats.CHATS)`."
Dankoy_jforwarder,Implicit Columns,telegram_chat_service/src/test/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooqTest.java,144,144,Optional<Record> r = dsl.select().from(Chats.CHATS).where(condition).fetchOptional();,"Using `select()` without specifying columns fetches all columns from the CHATS table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Explicitly list the required columns, e.g., `dsl.select(CHATS.ID, CHATS.CHAT_ID, ...).from(Chats.CHATS)`."
