Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
gchq_stroom-auth,Implicit Columns,stroom-auth-svc/src/main/java/stroom/auth/daos/JwkDao.java,38,38,JsonWebKeyRecord existingJwkRecord = database.selectFrom(Tables.JSON_WEB_KEY).fetchOne();,"Using `selectFrom()` fetches all columns from the JSON_WEB_KEY table, which may retrieve unnecessary data. Consider using `select()` with only the specific columns needed (e.g., `keyid` and `json`)."
gchq_stroom-auth,Poor Man's Search Engine,stroom-auth-svc/src/main/java/stroom/auth/daos/TokenDao.java,434,434,condition = tokenOwnerUsers.EMAIL.contains(filters.get(key));,Using `contains()` (which translates to LIKE '%...%') for searching user emails performs poorly on large datasets as it cannot use indexes. Consider implementing a full-text search index or using prefix matching with `startsWith()` if appropriate.
gchq_stroom-auth,Poor Man's Search Engine,stroom-auth-svc/src/main/java/stroom/auth/daos/TokenDao.java,439,439,condition = issueingUsers.EMAIL.contains(filters.get(key));,Using `contains()` for filtering by issuing user email results in a full table scan since LIKE '%...%' patterns cannot leverage indexes. Consider using a full-text search solution or exact matching if the use case allows.
gchq_stroom-auth,Poor Man's Search Engine,stroom-auth-svc/src/main/java/stroom/auth/daos/TokenDao.java,445,445,condition = TOKENS.TOKEN.contains(filters.get(key));,Using `contains()` for token search performs a full table scan with LIKE '%...%'. Consider using exact matching or implementing a proper full-text search index for better performance.
gchq_stroom-auth,Poor Man's Search Engine,stroom-auth-svc/src/main/java/stroom/auth/daos/TokenDao.java,448,448,condition = TOKEN_TYPES.TOKEN_TYPE.contains(filters.get(key));,"Using `contains()` for token type filtering uses LIKE '%...%' which is inefficient. Since token types are likely a small set of known values, consider using exact matching with `eq()` instead."
gchq_stroom-auth,Poor Man's Search Engine,stroom-auth-svc/src/main/java/stroom/auth/daos/TokenDao.java,450,450,condition = updatingUsers.EMAIL.contains(filters.get(key));,Using `contains()` for filtering by updating user email performs poorly as LIKE '%...%' cannot use indexes. Consider implementing full-text search or using exact/prefix matching.
gchq_stroom-auth,Implicit Columns,stroom-auth-svc/src/main/java/stroom/auth/daos/UserDao.java,97,98,"database
.selectFrom((Table) USERS)","Using selectFrom() fetches all columns from the USERS table, which retrieves more data than necessary. Consider using select() with only the specific columns needed for this operation (e.g., login_failures, login_count, last_login, reactivated_date, email)."
gchq_stroom-auth,Implicit Columns,stroom-auth-svc/src/main/java/stroom/auth/daos/UserDao.java,119,120,"database
.selectFrom((Table) USERS)",Using selectFrom() fetches all columns from the USERS table when only password_hash and state are needed for credential validation. Consider using select() with only the required columns.
gchq_stroom-auth,Implicit Columns,stroom-auth-svc/src/main/java/stroom/auth/daos/UserDao.java,153,154,"database
.selectFrom((Table) USERS)",Using selectFrom() retrieves all columns from the USERS table when only login_failures and state are needed. Consider using select() to fetch only the necessary columns.
gchq_stroom-auth,Implicit Columns,stroom-auth-svc/src/main/java/stroom/auth/daos/UserDao.java,186,187,"database
.selectFrom(USERS)",Using selectFrom() fetches all columns from the USERS table. Consider using select() with only the columns needed for the User mapping.
gchq_stroom-auth,Implicit Columns,stroom-auth-svc/src/main/java/stroom/auth/daos/UserDao.java,194,195,"database
.selectFrom(USERS)",Using selectFrom() retrieves all columns from the USERS table when only password-related fields are needed. Consider using select() with specific columns like password_hash and password_last_changed.
gchq_stroom-auth,Implicit Columns,stroom-auth-svc/src/main/java/stroom/auth/daos/UserDao.java,217,218,"database
.selectFrom((Table) USERS)","Using selectFrom() fetches all columns from the USERS table when only password_last_changed, created_on, and force_password_change are needed. Consider using select() with only the required columns."
gchq_stroom-auth,Implicit Columns,stroom-auth-svc/src/main/java/stroom/auth/daos/UserDao.java,244,244,database.selectFrom(USERS),Using selectFrom() retrieves all columns from the USERS table when only id and reactivated_date are needed for filtering. Consider using select() with only the necessary columns.
gchq_stroom-auth,Implicit Columns,stroom-auth-svc/src/main/java/stroom/auth/daos/UserDao.java,270,270,database.selectFrom(USERS),Using selectFrom() fetches all columns from the USERS table when only id and reactivated_date are needed. Consider using select() with specific columns to reduce data transfer.
gchq_stroom-auth,Implicit Columns,stroom-auth-svc/src/main/java/stroom/auth/daos/UserDao.java,293,293,database.selectFrom(Tables.USERS).where(Tables.USERS.EMAIL.eq(id)).fetchOne(),Using selectFrom() retrieves all columns when only checking for existence. Consider using fetchExists() or selectOne() instead to avoid fetching unnecessary data.
gchq_stroom-auth,Implicit Columns,stroom-auth-svc/src/main/java/stroom/auth/resources/user/v1/UserResource.java,116,116,.selectFrom(USERS),"Using selectFrom(USERS) fetches all columns from the USERS table, which retrieves more data than necessary and can impact performance. Consider explicitly selecting only the required columns using .select(USERS.EMAIL, ...).from(USERS) instead."
gchq_stroom-auth,Implicit Columns,stroom-auth-svc/src/main/java/stroom/auth/resources/user/v1/UserResource.java,349,349,.selectFrom(USERS),"Using selectFrom(USERS) fetches all columns from the USERS table when only specific fields may be needed. Replace with an explicit column selection like .select(USERS.ID, USERS.EMAIL, ...).from(USERS) to improve query efficiency."
gchq_stroom-auth,Implicit Columns,stroom-auth-svc/src/main/java/stroom/auth/resources/user/v1/UserResource.java,399,399,.selectFrom((Table) USERS),"Using selectFrom(USERS) retrieves all columns from the USERS table, which is inefficient if only a subset of columns is needed. Use explicit column selection with .select(...).from(USERS) to fetch only the required data."
gchq_stroom-auth,Poor Man's Search Engine,stroom-auth-svc/src/main/java/stroom/auth/resources/user/v1/UserResource.java,300,300,USERS.EMAIL.contains(email),"The contains() method generates a LIKE '%email%' pattern which performs a full-text search that cannot use indexes efficiently. Consider using a dedicated full-text search solution like Elasticsearch, or if prefix matching is sufficient, use startsWith() instead."
gchq_stroom-auth,ID Required,stroom-persistence/src/main/java/stroom/auth/db/tables/JsonWebKey.java,62,62,"public final TableField<JsonWebKeyRecord, Integer> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on 'keyId' which could serve as a natural primary key. Consider using 'keyId' as the primary key instead of the synthetic 'id' column, or at minimum rename 'id' to something more descriptive like 'json_web_key_id'."
gchq_stroom-auth,ID Required,stroom-persistence/src/main/java/stroom/auth/db/tables/Tokens.java,63,63,"public final TableField<TokensRecord, Integer> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'token_id'. Consider renaming the column to 'token_id' to make it self-documenting and avoid ambiguity in queries with joins.
gchq_stroom-auth,ID Required,stroom-persistence/src/main/java/stroom/auth/db/tables/TokenTypes.java,62,62,"public final TableField<TokenTypesRecord, Integer> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' as the primary key name, but there's already a unique constraint on 'token_type' (KEY_TOKEN_TYPES_ID) which could serve as a natural primary key since token types are immutable by nature. Consider using 'token_type' as the primary key or renaming the column to 'token_type_id' for clarity."
