Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/AccountManager.java,42,44,"s.fetchOne(LOGINENTRY,
                LOGINENTRY.EMAIL.eq(email),
                LOGINENTRY.PASSWORD.eq(password))",The fetchOne method fetches all columns from the LOGINENTRY table when only the token is needed. Consider using selectFrom with specific columns like `s.select(LOGINENTRY.TOKEN).from(LOGINENTRY).where(...).fetchOne()` to fetch only the required column.
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/AccountManager.java,50,50,"s.fetchOne(LOGINENTRY, LOGINENTRY.TOKEN.eq(token))","The fetchOne method fetches all columns from the LOGINENTRY table into a LoginentryRecord. If not all columns are needed, use a select statement with explicit column list to improve query efficiency."
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/AccountManager.java,95,95,"VerifyemailRecord record = s.fetchOne(VERIFYEMAIL, VERIFYEMAIL.EMAIL.eq(email));",The fetchOne method fetches all columns from the VERIFYEMAIL table when only the CODE column is needed for comparison. Consider using `s.select(VERIFYEMAIL.CODE).from(VERIFYEMAIL).where(...).fetchOne()` to fetch only the required column.
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/AccountManager.java,191,191,"s.fetchOne(LOGINENTRY, LOGINENTRY.TOKEN.eq(token))",The fetchOne method fetches all columns from the LOGINENTRY table when only the USERID column is needed. Consider using `s.select(LOGINENTRY.USERID).from(LOGINENTRY).where(...).fetchOne()` to fetch only the required column.
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/AccountManager.java,200,200,"s.fetchOne(USERDATA, USERDATA.ID.eq(userID))","The fetchOne method fetches all columns from the USERDATA table when only NAME and AVATAR are needed. Consider using `s.select(USERDATA.NAME, USERDATA.AVATAR).from(USERDATA).where(...).fetchOne()` to fetch only the required columns."
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/EmojiManager.java,16,16,s.select().from(CUSTOMEMOJI),"Using select() without specifying columns fetches all columns from the CUSTOMEMOJI table, which can retrieve unnecessary data and hurt performance. Specify only the required columns explicitly, e.g., s.select(CUSTOMEMOJI.ID, CUSTOMEMOJI.NAME, ...).from(CUSTOMEMOJI)."
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/EmojiManager.java,26,26,s.select().from(CUSTOMEMOJI),"Using select() without specifying columns fetches all columns from the CUSTOMEMOJI table, which can retrieve unnecessary data and hurt performance. Specify only the required columns explicitly, e.g., s.select(CUSTOMEMOJI.ID, CUSTOMEMOJI.NAME, ...).from(CUSTOMEMOJI)."
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/EmojiManager.java,37,37,s.select().from(CUSTOMEMOJI),"Using select() without specifying columns fetches all columns from the CUSTOMEMOJI table, which can retrieve unnecessary data and hurt performance. Specify only the required columns explicitly, e.g., s.select(CUSTOMEMOJI.ID, CUSTOMEMOJI.NAME, ...).from(CUSTOMEMOJI)."
fuma-nama_U3-Server,Poor Man's Search Engine,src/main/java/database/EmojiManager.java,38,38,.where(CUSTOMEMOJI.NAME.contains(name)),"The contains() method performs a LIKE '%name%' search which cannot use standard indexes and will be slow on large tables. Consider using a full-text search index (e.g., PostgreSQL's tsvector/tsquery or MySQL's FULLTEXT) for efficient text searching."
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/EmojiManager.java,74,74,"s.fetch(EMOJIORDERS, EMOJIORDERS.USERID.eq(userID))","Using fetch() on a table fetches all columns from EMOJIORDERS, even though only EMOJIID is needed. Use a select query with explicit columns instead, e.g., s.select(EMOJIORDERS.EMOJIID).from(EMOJIORDERS).where(...).fetch()."
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/FriendManager.java,19,19,"s.fetch(FRIEND, FRIEND.FIRSTUSERID","Using fetch() with a table reference retrieves all columns from the FRIEND table, which may include unnecessary data. Consider using selectFrom() with specific columns or select() to explicitly specify only the required columns."
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/FriendManager.java,61,61,"s.fetch(FRIENDINVITE, FRIENDINVITE.TARGETID.eq(userID))",Using fetch() with a table reference retrieves all columns from the FRIENDINVITE table. Consider using select() with explicit column names to fetch only the columns needed for FriendInvite::fromRecord.
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/GroupManager.java,105,105,"s.fetchOne(JOINGROUPLOG,",Using fetchOne on the entire JOINGROUPLOG table fetches all columns when only the LASTCHECKTIME column is needed. Use select(JOINGROUPLOG.LASTCHECKTIME).from(JOINGROUPLOG).where(...).fetchOne() instead.
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/GroupManager.java,129,129,"s.fetchOne(TEXTMESSAGE, TEXTMESSAGE.MESSAGEID.eq(messageID))","Fetching the entire TEXTMESSAGE record retrieves all columns implicitly. If only specific fields are needed, use an explicit select with only the required columns."
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/GroupManager.java,222,222,s.selectFrom(JOINGROUPLOG),Using selectFrom fetches all columns from JOINGROUPLOG when only GROUPID is needed. Use select(JOINGROUPLOG.GROUPID).from(JOINGROUPLOG) to fetch only the required column.
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/GroupManager.java,234,234,"s.fetch(JOINGROUPLOG, JOINGROUPLOG.GROUPID.eq(groupID))",Fetching all columns from JOINGROUPLOG when only USERID is needed. Use select(JOINGROUPLOG.USERID).from(JOINGROUPLOG).where(...) to fetch only the required column.
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/GroupManager.java,241,241,s.select().from(TEXTMESSAGE),Using select() without specifying columns fetches all columns from TEXTMESSAGE. Explicitly list only the columns needed for the TextMessage mapping.
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/GroupManager.java,255,256,"s.fetchOne(GROUPDATA, GROUPDATA.ID.eq(groupID), GROUPDATA.ISPRIVATE.eq(FALSE))","Fetching the entire GROUPDATA record retrieves all columns when only CREATORID, AVATAR, NAME, and DESCRIPTION are used. Use an explicit select with only those columns."
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/GroupManager.java,303,303,"s.fetchOne(INVITECODE, INVITECODE.GROUPID.eq(groupID))",Fetching all columns from INVITECODE when only the CODE column is needed. Use select(INVITECODE.CODE).from(INVITECODE).where(...) instead.
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/GroupManager.java,331,331,"s.fetch(GROUPINVITE, GROUPINVITE.TARGETID.eq(targetID)).map(GroupInvite::fromRecord)",Fetching all columns from GROUPINVITE implicitly. Explicitly select only the columns required by the GroupInvite::fromRecord mapping.
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/GroupManager.java,347,348,"s.fetchOne(INVITECODE, INVITECODE.CODE.eq(code))",Fetching all columns from INVITECODE when only GROUPID is needed. Use select(INVITECODE.GROUPID).from(INVITECODE).where(...) instead.
fuma-nama_U3-Server,Implicit Columns,src/main/java/database/GroupManager.java,374,374,"s.fetchOne(TEXTMESSAGE, TEXTMESSAGE.MESSAGEID.eq(messageID), TEXTMESSAGE.SENDERID.eq(senderID))","Fetching all columns from TEXTMESSAGE implicitly. If only specific fields are needed, use an explicit select with only the required columns."
fuma-nama_U3-Server,Implicit Columns,src/main/java/Main.java,65,65,Result<Record> result = create.select().from(LOGINENTRY).fetch();,"Using `select()` without specifying columns fetches all columns from the LOGINENTRY table, which can retrieve unnecessary data and hurt performance. Replace with explicit column selection like `select(LOGINENTRY.EMAIL, LOGINENTRY.PASSWORD, LOGINENTRY.TOKEN)`."
fuma-nama_U3-Server,ID Required,src/main/java/test/generated/tables/Customemoji.java,51,51,"public final TableField<CustomemojiRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'customemoji_id' or 'emoji_id'. Consider renaming the column to something more meaningful that identifies what entity it represents.
fuma-nama_U3-Server,Keyless Entry,src/main/java/test/generated/tables/Customemoji.java,56,56,"public final TableField<CustomemojiRecord, Integer> CREATORID = createField(DSL.name(""creatorID""), SQLDataType.INTEGER, this, """");",The 'creatorID' column appears to reference the Userdata table (which has KEY_USERDATA_PRIMARY on its ID column) but lacks a foreign key constraint. Add a foreign key constraint referencing the Userdata table to ensure referential integrity.
fuma-nama_U3-Server,Keyless Entry,src/main/java/test/generated/tables/Emojiorders.java,50,50,"public final TableField<EmojiordersRecord, Integer> USERID = createField(DSL.name(""userID""), SQLDataType.INTEGER.nullable(false), this, """");","The 'userID' column appears to reference the Userdata table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Userdata.ID to ensure referential integrity."
fuma-nama_U3-Server,Keyless Entry,src/main/java/test/generated/tables/Emojiorders.java,55,55,"public final TableField<EmojiordersRecord, Integer> EMOJIID = createField(DSL.name(""emojiID""), SQLDataType.INTEGER.nullable(false), this, """");","The 'emojiID' column appears to reference the Customemoji table but lacks a foreign key constraint, which could allow invalid emoji references. Add a foreign key constraint referencing Customemoji.ID to maintain data integrity."
fuma-nama_U3-Server,Keyless Entry,src/main/java/test/generated/tables/Friend.java,50,50,"public final TableField<FriendRecord, Integer> FIRSTUSERID = createField(DSL.name(""FirstUserID""), SQLDataType.INTEGER.nullable(false), this, """");",The FIRSTUSERID column appears to reference a user but lacks a foreign key constraint to the Userdata table. Add a foreign key constraint referencing Userdata.ID to ensure referential integrity.
fuma-nama_U3-Server,Keyless Entry,src/main/java/test/generated/tables/Friend.java,55,55,"public final TableField<FriendRecord, Integer> SECONDUSERID = createField(DSL.name(""SecondUserID""), SQLDataType.INTEGER.nullable(false), this, """");",The SECONDUSERID column appears to reference a user but lacks a foreign key constraint to the Userdata table. Add a foreign key constraint referencing Userdata.ID to ensure referential integrity.
fuma-nama_U3-Server,Keyless Entry,src/main/java/test/generated/tables/Friend.java,60,60,"public final TableField<FriendRecord, Integer> PRIVATEGROUPID = createField(DSL.name(""PrivateGroupID""), SQLDataType.INTEGER, this, """");",The PRIVATEGROUPID column appears to reference a group but lacks a foreign key constraint to the Groupdata table. Add a foreign key constraint referencing Groupdata.ID to ensure referential integrity and prevent orphaned records.
fuma-nama_U3-Server,Keyless Entry,src/main/java/test/generated/tables/Friendinvite.java,52,52,"public final TableField<FriendinviteRecord, Integer> SENDERID = createField(DSL.name(""senderID""), SQLDataType.INTEGER.nullable(false), this, """");",The SENDERID column appears to reference a user but lacks a foreign key constraint to the Userdata table (which has KEY_USERDATA_PRIMARY on ID). Add a foreign key constraint referencing Userdata.ID to ensure referential integrity.
fuma-nama_U3-Server,Keyless Entry,src/main/java/test/generated/tables/Friendinvite.java,57,57,"public final TableField<FriendinviteRecord, Integer> TARGETID = createField(DSL.name(""targetID""), SQLDataType.INTEGER.nullable(false), this, """");",The TARGETID column appears to reference a user but lacks a foreign key constraint to the Userdata table (which has KEY_USERDATA_PRIMARY on ID). Add a foreign key constraint referencing Userdata.ID to ensure referential integrity.
