Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
reportportal_commons-dao,Poor Man's Search Engine,src/main/java/com/epam/ta/reportportal/commons/querygen/Condition.java,131,133,"return field(criteriaHolder.getAggregateCriteria()).likeIgnoreCase(
    DSL.inline(""%"" + DSL.escape(filter.getValue(), '\\') + ""%""))
    .and(field(criteriaHolder.getAggregateCriteria()).isNotNull());","The CONTAINS condition uses LIKE with wildcards on both sides (%) for full-text search, which cannot use indexes efficiently and results in full table scans. Consider using PostgreSQL's full-text search capabilities (tsvector/tsquery) or a dedicated search engine like Elasticsearch for better performance."
reportportal_commons-dao,Implicit Columns,src/main/java/com/epam/ta/reportportal/dao/AttributeRepositoryCustomImpl.java,45,45,dsl.select(),"Using `select()` without specifying columns fetches all columns from the ATTRIBUTE table, which can retrieve unnecessary data and reduce performance. Explicitly list only the required columns, e.g., `dsl.select(ATTRIBUTE.ID, ATTRIBUTE.NAME, ...)`"
reportportal_commons-dao,Implicit Columns,src/main/java/com/epam/ta/reportportal/dao/IntegrationRepositoryCustomImpl.java,68,68,return ofNullable(dsl.select(),"Using select() without specifying columns fetches all columns from the joined tables, which retrieves unnecessary data and impacts performance. Explicitly list only the required columns, e.g., dsl.select(INTEGRATION.ID, INTEGRATION.NAME, ...)."
reportportal_commons-dao,Implicit Columns,src/main/java/com/epam/ta/reportportal/dao/IntegrationRepositoryCustomImpl.java,79,79,return dsl.select(),"Using select() without specifying columns fetches all columns from the joined tables, which retrieves unnecessary data and impacts performance. Explicitly list only the required columns needed for the PROJECT_INTEGRATION_RECORD_MAPPER."
reportportal_commons-dao,Implicit Columns,src/main/java/com/epam/ta/reportportal/dao/IntegrationRepositoryCustomImpl.java,91,91,return dsl.select(),"Using select() without specifying columns fetches all columns from the joined tables, which retrieves unnecessary data and impacts performance. Explicitly list only the required columns needed for the GLOBAL_INTEGRATION_RECORD_MAPPER."
reportportal_commons-dao,Implicit Columns,src/main/java/com/epam/ta/reportportal/dao/IntegrationRepositoryCustomImpl.java,103,103,return dsl.select(),"Using select() without specifying columns fetches all columns from the joined tables, which retrieves unnecessary data and impacts performance. Explicitly list only the required columns needed for the GLOBAL_INTEGRATION_RECORD_MAPPER."
reportportal_commons-dao,Implicit Columns,src/main/java/com/epam/ta/reportportal/dao/IssueTypeRepositoryCustomImpl.java,47,47,return dsl.select(),"Using `select()` without specifying columns fetches all columns from the joined ISSUE_TYPE and ISSUE_GROUP tables, which retrieves unnecessary data. Explicitly list only the columns needed by ISSUE_TYPE_RECORD_MAPPER, e.g., `select(ISSUE_TYPE.ID, ISSUE_TYPE.LOCATOR, ...)`"
reportportal_commons-dao,Poor Man's Search Engine,src/main/java/com/epam/ta/reportportal/dao/ItemAttributeRepositoryCustomImpl.java,84,84,".and(ITEM_ATTRIBUTE.KEY.likeIgnoreCase(DSL.val(""%"" + DSL.escape(keyPart, '\\') + ""%"")))",Using LIKE with wildcards on both sides for searching attribute keys prevents index usage and causes full table scans. Consider using a full-text search index or a dedicated search engine like Elasticsearch for efficient text searching.
reportportal_commons-dao,Poor Man's Search Engine,src/main/java/com/epam/ta/reportportal/dao/ItemAttributeRepositoryCustomImpl.java,90,91,".and(ITEM_ATTRIBUTE.KEY.likeIgnoreCase(
                            DSL.val(""%"" + DSL.escape(keyPart, '\\') + ""%"")))",Using LIKE with wildcards on both sides for searching attribute keys prevents index usage and causes full table scans. Consider using a full-text search index or a dedicated search engine like Elasticsearch for efficient text searching.
reportportal_commons-dao,Poor Man's Search Engine,src/main/java/com/epam/ta/reportportal/dao/ItemAttributeRepositoryCustomImpl.java,108,108,".and(ITEM_ATTRIBUTE.KEY.likeIgnoreCase(""%"" + DSL.escape(value, '\\') + ""%""))",Using LIKE with wildcards on both sides for searching attribute keys prevents index usage and causes full table scans. Consider using a full-text search index or a dedicated search engine like Elasticsearch for efficient text searching.
reportportal_commons-dao,Poor Man's Search Engine,src/main/java/com/epam/ta/reportportal/dao/ItemAttributeRepositoryCustomImpl.java,137,137,".and(ITEM_ATTRIBUTE.KEY.likeIgnoreCase(""%"" + DSL.escape(keyPart, '\\') + ""%""))",Using LIKE with wildcards on both sides for searching attribute keys prevents index usage and causes full table scans. Consider using a full-text search index or a dedicated search engine like Elasticsearch for efficient text searching.
reportportal_commons-dao,Poor Man's Search Engine,src/main/java/com/epam/ta/reportportal/dao/ItemAttributeRepositoryCustomImpl.java,156,156,".and(ITEM_ATTRIBUTE.VALUE.likeIgnoreCase(""%"" + DSL.escape(valuePart, '\\') + ""%""))",Using LIKE with wildcards on both sides for searching attribute values prevents index usage and causes full table scans. Consider using a full-text search index or a dedicated search engine like Elasticsearch for efficient text searching.
reportportal_commons-dao,Poor Man's Search Engine,src/main/java/com/epam/ta/reportportal/dao/ItemAttributeRepositoryCustomImpl.java,195,195,".and(ITEM_ATTRIBUTE.KEY.likeIgnoreCase(""%"" + DSL.escape(keyPart, '\\') + ""%""))",Using LIKE with wildcards on both sides for searching attribute keys prevents index usage and causes full table scans. Consider using a full-text search index or a dedicated search engine like Elasticsearch for efficient text searching.
reportportal_commons-dao,Poor Man's Search Engine,src/main/java/com/epam/ta/reportportal/dao/ItemAttributeRepositoryCustomImpl.java,255,256,".and(ITEM_ATTRIBUTE.VALUE.likeIgnoreCase(
                ""\%"" + (value == null ? """" : DSL.escape(value, '\\') + ""%"")))",Using LIKE with wildcards on both sides for searching attribute values prevents index usage and causes full table scans. Consider using a full-text search index or a dedicated search engine like Elasticsearch for efficient text searching.
reportportal_commons-dao,Poor Man's Search Engine,src/main/java/com/epam/ta/reportportal/dao/LaunchRepositoryCustomImpl.java,140,140,".and(LAUNCH.NAME.likeIgnoreCase(""%"" + DSL.escape(value, '\\') + ""%""))","Using LIKE with wildcards on both sides for searching launch names performs a full table scan and cannot use indexes efficiently. Consider using a full-text search index (e.g., PostgreSQL's tsvector/tsquery) or a dedicated search engine like Elasticsearch."
reportportal_commons-dao,Poor Man's Search Engine,src/main/java/com/epam/ta/reportportal/dao/LaunchRepositoryCustomImpl.java,153,153,".and(USERS.LOGIN.likeIgnoreCase(""%"" + DSL.escape(value, '\\') + ""%""))",Using LIKE with wildcards on both sides for searching user logins is inefficient for large datasets as it cannot leverage indexes. Consider implementing full-text search capabilities or using prefix-only matching if the use case allows.
reportportal_commons-dao,Implicit Columns,src/main/java/com/epam/ta/reportportal/dao/LaunchRepositoryCustomImpl.java,383,383,return dsl.select(),"Using select() without specifying columns fetches all columns from the LAUNCH table, which retrieves unnecessary data and increases memory usage. Explicitly list only the required columns, such as LAUNCH.ID, LAUNCH.NUMBER, and any other fields needed for the Launch entity."
reportportal_commons-dao,Implicit Columns,src/main/java/com/epam/ta/reportportal/dao/LogRepositoryCustomImpl.java,127,127,"return dsl.select()
        .from(LOG)","Using `select()` without specifying columns fetches all columns from the LOG and ATTACHMENT tables, which retrieves unnecessary data and impacts performance. Explicitly list only the required columns like `dsl.select(LOG.ID, LOG.LOG_MESSAGE, LOG.LOG_TIME, ...)`."
