Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Ayazkins_Java-Tinkoff-sem-2,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Chat.java,63,64,"public final TableField<ChatRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'chat_id'. Consider renaming the column to 'chat_id' to make it self-documenting and avoid ambiguity when joining tables.
Ayazkins_Java-Tinkoff-sem-2,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/ChatLink.java,66,67,"public final TableField<ChatLinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","This junction table has a synthetic 'ID' primary key even though a natural composite key (CHAT_ID, LINK_ID) already exists as a unique constraint (CONSTRAINT_8682), which would serve as a suitable primary key. Consider removing the synthetic ID column and using the composite unique constraint on (CHAT_ID, LINK_ID) as the primary key instead."
Ayazkins_Java-Tinkoff-sem-2,Fear of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/tables/ChatLink.java,72,73,"public final TableField<ChatLinkRecord, Long> CHAT_ID =
    createField(DSL.name(""CHAT_ID""), SQLDataType.BIGINT, this, """");","The CHAT_ID column is nullable but represents a foreign key reference to the CHAT table, which should never be NULL in a junction table that establishes relationships. Mark this column as NOT NULL to enforce referential integrity."
Ayazkins_Java-Tinkoff-sem-2,Fear of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/tables/ChatLink.java,78,79,"public final TableField<ChatLinkRecord, Long> LINK_ID =
    createField(DSL.name(""LINK_ID""), SQLDataType.BIGINT, this, """");","The LINK_ID column is nullable but represents a foreign key reference to the LINK table, which should never be NULL in a junction table that establishes relationships. Mark this column as NOT NULL to enforce referential integrity."
Ayazkins_Java-Tinkoff-sem-2,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Link.java,67,68,"public final TableField<LinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, but there's already a unique constraint on the 'URL' column (CONSTRAINT_23) which is a natural key suitable for identifying links. Consider using 'URL' as the primary key or renaming the synthetic key to something more descriptive like 'link_id'."
Ayazkins_Java-Tinkoff-sem-2,Fear of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/tables/Link.java,79,84,"public final TableField<LinkRecord, OffsetDateTime> LAST_CHECKED = createField(DSL.name(""LAST_CHECKED""),
    SQLDataType.TIMESTAMPWITHTIMEZONE(6)
        .defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.TIMESTAMPWITHTIMEZONE)),
    this,
    """"
);","The 'LAST_CHECKED' column has a default value but is marked as NULLABLE, which can lead to ambiguity between 'never checked' (NULL) and 'checked at default time'. Consider making the column NOT NULL since it has a default value, or remove the default if NULL has a specific semantic meaning."
Ayazkins_Java-Tinkoff-sem-2,Fear of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/tables/Link.java,89,94,"public final TableField<LinkRecord, OffsetDateTime> LAST_UPDATED = createField(DSL.name(""LAST_UPDATED""),
    SQLDataType.TIMESTAMPWITHTIMEZONE(6)
        .defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.TIMESTAMPWITHTIMEZONE)),
    this,
    """"
);","The 'LAST_UPDATED' column has a default value but is marked as NULLABLE, creating potential confusion about whether NULL means 'never updated' or is an error state. Consider making the column NOT NULL since it has a default value, or clarify the semantic meaning of NULL values."
Ayazkins_Java-Tinkoff-sem-2,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqChatLinkRepository.java,35,35,return dslContext.select(LINK),"Selecting the entire LINK table fetches all columns, which may retrieve unnecessary data and reduce performance. Instead, explicitly select only the columns needed, e.g., `select(LINK.ID, LINK.URL, ...)`."
Ayazkins_Java-Tinkoff-sem-2,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqChatRepository.java,30,30,dslContext.select(CHAT.fields()),"Using CHAT.fields() selects all columns from the CHAT table, which can fetch unnecessary data and break if the schema changes. Instead, explicitly select only the required columns, e.g., dslContext.select(CHAT.ID).from(CHAT)..."
Ayazkins_Java-Tinkoff-sem-2,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,36,36,return dslContext.select(LINK.fields()),"Using LINK.fields() fetches all columns from the LINK table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Explicitly list only the required columns, e.g., dslContext.select(LINK.ID, LINK.URL, LINK.LAST_CHECKED)."
Ayazkins_Java-Tinkoff-sem-2,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,44,44,return dslContext.select(LINK.fields()),"Using LINK.fields() fetches all columns from the LINK table, which retrieves potentially unnecessary data and couples the query to the full table schema. Specify only the columns needed, e.g., dslContext.select(LINK.ID, LINK.URL, LINK.LAST_CHECKED, LINK.LAST_UPDATED)."
