Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
noir2k_speechear,Implicit Columns,api/src/main/java/kr/co/ihab/speechear/api/domain/auth/UserDetailServiceImpl.java,29,29,.select(USER_INFO.fields()),"Using `USER_INFO.fields()` fetches all columns from the USER_INFO table, which may retrieve unnecessary data and reduce query performance. Consider explicitly selecting only the columns needed for the UserInfo object."
noir2k_speechear,Implicit Columns,api/src/main/java/kr/co/ihab/speechear/api/domain/auth/UserDetailServiceImpl.java,32,32,select(ROLE_INFO.fields()),Using `ROLE_INFO.fields()` in the multiset subquery fetches all columns from the ROLE_INFO table. Consider explicitly selecting only the columns required for the RoleInfo object to improve performance and clarity.
noir2k_speechear,Implicit Columns,api/src/main/java/kr/co/ihab/speechear/api/domain/training/TrainingService.java,80,80,.select(FUNCTION1.fields()),"Selecting all columns with `FUNCTION1.fields()` fetches every column from the table, which can retrieve unnecessary data and hurt performance. Explicitly list only the columns needed for the `Function1` POJO."
noir2k_speechear,Implicit Columns,api/src/main/java/kr/co/ihab/speechear/api/domain/training/TrainingService.java,138,138,.select(FUNCTION2.fields()),"Using `FUNCTION2.fields()` selects all columns from the FUNCTION2 table, which may include unused data. Specify only the required columns explicitly to improve query efficiency."
noir2k_speechear,Implicit Columns,api/src/main/java/kr/co/ihab/speechear/api/domain/training/TrainingService.java,197,197,.select(FUNCTION3_2.fields()),Fetching all columns via `FUNCTION3_2.fields()` retrieves potentially unnecessary data from the database. List only the specific columns required for the `Function3_2` POJO.
noir2k_speechear,Implicit Columns,api/src/main/java/kr/co/ihab/speechear/api/domain/training/TrainingService.java,226,227,".select(FUNCTION3_2.fields())
.select(FUNCTION3_1.fields())",Selecting all columns from both FUNCTION3_2 and FUNCTION3_1 tables may fetch more data than needed. Explicitly specify only the columns required for the `Function3_2` and `Function3_1` POJOs.
noir2k_speechear,Implicit Columns,api/src/main/java/kr/co/ihab/speechear/api/domain/training/TrainingService.java,363,363,.select(FUNCTION4.fields()),"Using `FUNCTION4.fields()` fetches all columns from the FUNCTION4 table, which can be inefficient. Specify only the columns needed for the `Function4` POJO."
noir2k_speechear,Implicit Columns,api/src/main/java/kr/co/ihab/speechear/api/domain/training/TrainingService.java,413,413,.select(FUNCTION5_1.fields()),Selecting all columns with `FUNCTION5_1.fields()` retrieves every column from the table. Explicitly list only the columns required for the `Function5_1` POJO to reduce data transfer.
noir2k_speechear,Implicit Columns,api/src/main/java/kr/co/ihab/speechear/api/domain/training/TrainingService.java,445,445,.select(FUNCTION5_2.fields()),Using `FUNCTION5_2.fields()` fetches all columns from the FUNCTION5_2 table. Specify only the columns needed for the `Function5_2` POJO to improve performance.
noir2k_speechear,ID Required,generated-jooq/src/main/java/kr/co/ihab/speechear/persistence/jooq/tables/RoleInfo.java,64,64,"public final TableField<RoleInfoRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The table uses a generic 'id' column as the primary key instead of a more descriptive name. Consider renaming it to 'role_id' or 'role_info_id' to make the column's purpose clearer and improve readability in joins and queries.
noir2k_speechear,ID Required,generated-jooq/src/main/java/kr/co/ihab/speechear/persistence/jooq/tables/RoleInfo.java,64,64,"public final TableField<RoleInfoRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table has a synthetic primary key 'id' even though the 'name' column could serve as a natural primary key for a role lookup table, since role names are typically unique and immutable. Consider using 'name' as the primary key instead of introducing a surrogate key."
noir2k_speechear,Rounding Errors,generated-jooq/src/main/java/kr/co/ihab/speechear/persistence/jooq/tables/UserActivity.java,76,76,"public final TableField<UserActivityRecord, Double> ACTIVITY_TIME = createField(DSL.name(""activity_time""), SQLDataType.DOUBLE.nullable(false), this, """");","The ACTIVITY_TIME column uses DOUBLE (floating-point) type which can cause precision loss when storing time values. Consider using DECIMAL or NUMERIC with appropriate precision and scale, or store time as an integer representing milliseconds/seconds."
noir2k_speechear,Keyless Entry,generated-jooq/src/main/java/kr/co/ihab/speechear/persistence/jooq/tables/UserLog.java,67,67,"public final TableField<UserLogRecord, String> ACCESS_ID = createField(DSL.name(""access_id""), SQLDataType.VARCHAR(30).nullable(false), this, """");","The ACCESS_ID column appears to reference a user identifier but lacks a foreign key constraint to the UserInfo table, which has a primary key USER_INFO_PK on the ID column. Add a foreign key constraint referencing UserInfo.ID to ensure referential integrity."
noir2k_speechear,Keyless Entry,generated-jooq/src/main/java/kr/co/ihab/speechear/persistence/jooq/tables/UserSetting.java,64,64,"public final TableField<UserSettingRecord, String> USER_ID = createField(DSL.name(""user_id""), SQLDataType.VARCHAR(30).nullable(false), this, """");","The USER_ID column appears to reference the UserInfo table (based on naming convention and the existence of USER_INFO_PK on UserInfo.ID), but there is no foreign key constraint defined. Add a foreign key constraint from user_setting.user_id to user_info.id to ensure referential integrity."
noir2k_speechear,Keyless Entry,generated-jooq/src/main/java/kr/co/ihab/speechear/persistence/jooq/tables/UserTrainingProgress.java,64,64,"public final TableField<UserTrainingProgressRecord, String> USER_ID = createField(DSL.name(""user_id""), SQLDataType.VARCHAR(30).nullable(false), this, """");",The USER_ID column appears to reference the UserInfo table (which has USER_INFO_PK on the ID column) but lacks a foreign key constraint. Add a foreign key constraint referencing UserInfo.ID to ensure referential integrity.
noir2k_speechear,Keyless Entry,generated-jooq/src/main/java/kr/co/ihab/speechear/persistence/jooq/tables/UserTrainingScore.java,64,64,"public final TableField<UserTrainingScoreRecord, String> USER_ID = createField(DSL.name(""user_id""), SQLDataType.VARCHAR(30).nullable(false), this, """");","The USER_ID column appears to reference the user_info table (based on Keys.USER_INFO_PK) but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing the user_info.id column."
noir2k_speechear,Keyless Entry,generated-jooq/src/main/java/kr/co/ihab/speechear/persistence/jooq/tables/UserTrainingScore.java,69,69,"public final TableField<UserTrainingScoreRecord, String> TRAINING_ID = createField(DSL.name(""training_id""), SQLDataType.VARCHAR(2).nullable(false), this, """");","The TRAINING_ID column (along with TRAINING_CATEGORY and TRAINING_CHAPTER) appears to reference the user_training_chapter table but lacks a foreign key constraint, risking data integrity. Add a composite foreign key referencing user_training_chapter(training_id, training_category, training_chapter)."
