Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
xdnw_locutus,Keyless Entry,build/generated-src/jooq/bank/org/example/jooq/bank/tables/LootDiffByTaxId.java,59,59,"public final TableField<LootDiffByTaxIdRecord, Integer> TAX_ID = createField(DSL.name(""tax_id""), SQLDataType.INTEGER.nullable(false), this, """");",The TAX_ID column appears to reference the TAX_ESTIMATE table (which has TAX_ID as its primary key) but lacks a foreign key constraint. Add a foreign key constraint referencing TAX_ESTIMATE.TAX_ID to ensure referential integrity.
xdnw_locutus,ID Required,build/generated-src/jooq/bank/org/example/jooq/bank/tables/TaxBrackets.java,54,54,"public final TableField<TaxBracketsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");","The primary key is named 'id' which is a generic, non-descriptive name that doesn't convey the meaning of the identifier. Consider renaming it to something more meaningful like 'tax_bracket_id' to better describe what entity it identifies."
xdnw_locutus,ID Required,build/generated-src/jooq/bank/org/example/jooq/bank/tables/TaxDepositsDate.java,73,73,"public final TableField<TaxDepositsDateRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");","The table has a synthetic 'id' column even though a natural composite primary key already exists on (ALLIANCE, DATE, NATION) as shown in the Keys class. Consider removing the redundant 'id' column and using the existing composite unique key as the primary key."
xdnw_locutus,Keyless Entry,build/generated-src/jooq/bank/org/example/jooq/bank/tables/TaxEstimate.java,54,54,"public final TableField<TaxEstimateRecord, Integer> TAX_ID = createField(DSL.name(""tax_id""), SQLDataType.INTEGER.nullable(false), this, """");",The TAX_ID column appears to reference tax brackets (based on naming convention and the existence of TAX_BRACKETS__PK_TAX_BRACKETS with an ID primary key) but lacks a foreign key constraint. Add a foreign key constraint referencing the TaxBrackets.ID column to ensure referential integrity.
xdnw_locutus,Fear of the Unknown,build/generated-src/jooq/locutus/org/example/jooq/locutus/tables/ApiKeys2.java,59,59,"public final TableField<ApiKeys2Record, Long> API_KEY = createField(DSL.name(""api_key""), SQLDataType.BIGINT, this, """");","The API_KEY column is nullable but likely represents an API key that should either exist or be explicitly NULL. If a missing API key has semantic meaning, consider making the column NOT NULL with proper validation, or ensure NULL is used intentionally to represent 'no key assigned'."
xdnw_locutus,Fear of the Unknown,build/generated-src/jooq/locutus/org/example/jooq/locutus/tables/ApiKeys2.java,64,64,"public final TableField<ApiKeys2Record, Long> BOT_KEY = createField(DSL.name(""bot_key""), SQLDataType.BIGINT, this, """");","The BOT_KEY column is nullable but likely represents a bot key that should either exist or be explicitly NULL. If a missing bot key has semantic meaning, consider making the column NOT NULL with proper validation, or ensure NULL is used intentionally to represent 'no key assigned'."
xdnw_locutus,Keyless Entry,build/generated-src/jooq/locutus/org/example/jooq/locutus/tables/Users.java,54,54,"public final TableField<UsersRecord, Integer> NATION_ID = createField(DSL.name(""nation_id""), SQLDataType.INTEGER.nullable(false), this, """");","The NATION_ID column appears to reference another table (likely the VERIFIED table which has NATION_ID as its primary key), but lacks a foreign key constraint. Add a foreign key constraint referencing the appropriate table to ensure referential integrity."
xdnw_locutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/Activity.java,54,54,"public final TableField<ActivityRecord, Integer> NATION = createField(DSL.name(""nation""), SQLDataType.INTEGER.nullable(false), this, """");",The 'nation' column appears to reference a nation entity (likely the Nations2 table with NATION_ID primary key) but lacks a foreign key constraint. Add a foreign key constraint referencing the Nations2.NATION_ID column to ensure referential integrity.
xdnw_locutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/AllianceMetrics.java,54,54,"public final TableField<AllianceMetricsRecord, Integer> ALLIANCE_ID = createField(DSL.name(""alliance_id""), SQLDataType.INTEGER.nullable(false), this, """");","The ALLIANCE_ID column appears to reference the ALLIANCES table (which has a primary key on ID), but no foreign key constraint is defined. Add a foreign key constraint referencing ALLIANCES.ID to ensure referential integrity."
xdnw_locutus,ID Required,build/generated-src/jooq/nations/org/example/jooq/nations/tables/Alliances.java,54,54,"public final TableField<AlliancesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'alliance_id'. Consider renaming the column to 'alliance_id' to make it self-documenting and avoid ambiguity when joining tables.
