Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
nuromirzak_tinkoff_academy,ID Required,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/jooq/tables/Link.java,57,61,"public final TableField<LinkRecord, Integer> LINK_ID = createField(DSL.name(""LINK_ID""),
    SQLDataType.INTEGER.nullable(false).identity(true),
    this,
    ""Уникальный идентификатор ссылки в базе данных""
);","The table has a synthetic auto-generated primary key (LINK_ID) even though there's already a unique constraint on the URL column (CONSTRAINT_23), which is a natural key suitable for identifying links. Consider using URL as the primary key instead, since URLs are inherently unique identifiers for links and are immutable by nature."
nuromirzak_tinkoff_academy,Keyless Entry,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/jooq/tables/LinkChat.java,53,54,"public final TableField<LinkChatRecord, Long> CHAT_ID =
    createField(DSL.name(""CHAT_ID""), SQLDataType.BIGINT.nullable(false), this, """");","The CHAT_ID column references the Chat table but lacks a foreign key constraint. The Keys class defines CONSTRAINT_1 as the primary key on Chat.CHAT_ID, so a foreign key should be added from LinkChat.CHAT_ID to Chat.CHAT_ID to ensure referential integrity."
nuromirzak_tinkoff_academy,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repo/jooq/JooqChatRepo.java,33,33,return dslContext.selectFrom(Tables.CHAT),"Using selectFrom() fetches all columns from the CHAT table, which may retrieve unnecessary data. Consider using select() with explicit column names to fetch only the required columns."
nuromirzak_tinkoff_academy,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repo/jooq/JooqChatRepo.java,45,45,return dslContext.selectFrom(Tables.CHAT),"Using selectFrom() fetches all columns from the CHAT table, which may retrieve unnecessary data. Consider using select() with explicit column names to fetch only the columns needed for the Chat class."
nuromirzak_tinkoff_academy,Poor Man's Search Engine,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repo/jooq/JooqChatRepo.java,50,50,.where(Tables.LINK.URL.like(url)),"Using LIKE with a parameter that may contain wildcards for full-text search is inefficient and doesn't scale well. If full-text search is needed, consider using a dedicated full-text search engine or database-native full-text search capabilities."
nuromirzak_tinkoff_academy,Poor Man's Search Engine,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repo/jooq/JooqLinkRepo.java,29,29,.where(Tables.LINK.URL.like(link.getUrl())),"Using LIKE with a user-provided URL string may perform unintended pattern matching if the URL contains wildcard characters (% or _). Replace `.like()` with `.eq()` for exact URL matching, since URLs should be compared exactly."
nuromirzak_tinkoff_academy,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repo/jooq/JooqLinkRepo.java,28,28,List<Link> existingLinks = dslContext.selectFrom(Tables.LINK),"Using selectFrom() fetches all columns from the LINK table, which retrieves unnecessary data and impacts performance. Explicitly select only the required columns using .select() instead."
nuromirzak_tinkoff_academy,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repo/jooq/JooqLinkRepo.java,54,54,return dslContext.selectFrom(Tables.LINK),Using selectFrom() fetches all columns from the LINK table when some columns may not be needed. Explicitly specify the required columns using .select() to improve query efficiency.
nuromirzak_tinkoff_academy,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repo/jooq/JooqLinkRepo.java,71,71,return dslContext.selectFrom(Tables.LINK),"Using selectFrom() retrieves all columns from the LINK table, which may include unnecessary data. Use .select() with explicit column names to fetch only the columns needed for the Link DTO."
nuromirzak_tinkoff_academy,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repo/jooq/JooqLinkRepo.java,84,84,return dslContext.selectFrom(Tables.LINK),Using selectFrom() fetches all columns from the LINK table regardless of actual requirements. Specify only the necessary columns using .select() to reduce data transfer and improve performance.
