Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
YaroslavChetskiy_tinkoff_course_backend_part,ID Required,scrapper/src/main/java/edu/java/domain/jooq/scrapper_schema/tables/Chat.java,68,68,"public final TableField<ChatRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'chat_id'. Consider renaming the column to 'chat_id' to make it self-documenting and avoid ambiguity when joining tables.
YaroslavChetskiy_tinkoff_course_backend_part,ID Required,scrapper/src/main/java/edu/java/domain/jooq/scrapper_schema/tables/ChatLink.java,70,70,"public final TableField<ChatLinkRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","This junction table has a synthetic auto-increment 'ID' primary key, but already has a natural composite unique key on (CHAT_ID, LINK_ID) via CONSTRAINT_8682 that would serve as a suitable primary key. Consider using the composite key (CHAT_ID, LINK_ID) as the primary key instead, which naturally enforces the many-to-many relationship uniqueness."
YaroslavChetskiy_tinkoff_course_backend_part,ID Required,scrapper/src/main/java/edu/java/domain/jooq/scrapper_schema/tables/Link.java,71,71,"public final TableField<LinkRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, but there's already a unique constraint on the 'URL' column (CONSTRAINT_23), which is a natural key suitable for identifying links. Consider using 'URL' as the primary key or renaming 'ID' to something more descriptive like 'link_id'."
YaroslavChetskiy_tinkoff_course_backend_part,ID Required,scrapper/src/main/java/edu/java/domain/jooq/scrapper_schema/tables/Question.java,70,70,"public final TableField<QuestionRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'ID' instead of a more descriptive name like 'question_id'. Consider renaming the column to 'question_id' to make it self-documenting and avoid ambiguity in queries with joins.
YaroslavChetskiy_tinkoff_course_backend_part,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqChatLinkRepository.java,60,60,dslContext.select(LINK.fields()),"Using `LINK.fields()` selects all columns from the LINK table, which can fetch unnecessary data and break if the schema changes. Explicitly list only the columns needed for the Link class, e.g., `dslContext.select(LINK.ID, LINK.URL, ...)`."
YaroslavChetskiy_tinkoff_course_backend_part,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqChatRepository.java,35,35,dslContext.select(CHAT.fields()),"Using CHAT.fields() selects all columns from the CHAT table, which fetches unnecessary data and couples the code to the table schema. Replace with explicit column selection like dslContext.select(CHAT.ID) to fetch only the required columns."
YaroslavChetskiy_tinkoff_course_backend_part,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqLinkRepository.java,50,50,return dslContext.select(LINK.fields()),"Using LINK.fields() fetches all columns from the LINK table, which can retrieve unnecessary data and reduce performance. Explicitly specify only the columns needed for the Link class, e.g., select(LINK.ID, LINK.URL, LINK.TYPE, ...)."
YaroslavChetskiy_tinkoff_course_backend_part,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqLinkRepository.java,61,61,return dslContext.select(LINK.fields()),"Using LINK.fields() fetches all columns from the LINK table, which retrieves potentially unnecessary data. Explicitly list only the required columns for the Link class instead of using fields()."
YaroslavChetskiy_tinkoff_course_backend_part,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqQuestionRepository.java,27,27,return dslContext.select(QUESTION.fields()),"Using `QUESTION.fields()` selects all columns from the QUESTION table, which can fetch unnecessary data and break if the schema changes. Instead, explicitly list only the columns needed, e.g., `select(QUESTION.LINK_ID, QUESTION.ANSWER_COUNT)`."
YaroslavChetskiy_tinkoff_course_backend_part,Implicit Columns,scrapper/src/test/java/edu/java/domain/repository/jooq/JooqChatLinkRepositoryTest.java,158,158,return dslContext.select(CHAT_LINK.fields()),"Using `CHAT_LINK.fields()` selects all columns from the CHAT_LINK table, which couples the code to the table schema and may fetch unnecessary data. Explicitly list only the required columns, e.g., `dslContext.select(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID)`."
YaroslavChetskiy_tinkoff_course_backend_part,Implicit Columns,scrapper/src/test/java/edu/java/domain/repository/jooq/JooqChatRepositoryTest.java,75,75,return dslContext.select(CHAT.fields()),"Using `CHAT.fields()` selects all columns from the CHAT table, which can lead to unnecessary data transfer and maintenance issues if the table schema changes. Instead, explicitly list only the columns needed, such as `dslContext.select(CHAT.ID, CHAT.OTHER_COLUMN)`."
YaroslavChetskiy_tinkoff_course_backend_part,Implicit Columns,scrapper/src/test/java/edu/java/domain/repository/jooq/JooqLinkRepositoryTest.java,126,126,return dslContext.select(Tables.LINK.fields()),"Using `Tables.LINK.fields()` selects all columns from the LINK table, which can lead to performance issues and maintenance problems if the table schema changes. Instead, explicitly list only the columns needed for the Link class mapping."
YaroslavChetskiy_tinkoff_course_backend_part,Implicit Columns,scrapper/src/test/java/edu/java/domain/repository/jooq/JooqQuestionRepositoryTest.java,95,95,return dslContext.select(QUESTION.fields()),"Using `QUESTION.fields()` selects all columns from the QUESTION table, which can lead to unnecessary data transfer and maintenance issues if the table schema changes. Instead, explicitly list only the columns needed, e.g., `dslContext.select(QUESTION.ID, QUESTION.ANSWER_COUNT, QUESTION.LINK_ID)`."
