Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
marcato10_manaca-framework,ID Required,src/main/java/com/marcato/springmarcatoerp/entity/tables/Department.java,62,62,"public final TableField<DepartmentRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'department_id'. Consider renaming the column to 'department_id' to make it self-documenting and avoid ambiguity in queries with joins.
marcato10_manaca-framework,ID Required,src/main/java/com/marcato/springmarcatoerp/entity/tables/Employees.java,67,67,"public final TableField<EmployeesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'employee_id'. Consider renaming the column to 'employee_id' to make it self-documenting and avoid ambiguity in queries with joins.
marcato10_manaca-framework,31 Flavors,src/main/java/com/marcato/springmarcatoerp/entity/tables/Employees.java,87,87,"public final TableField<EmployeesRecord, Status> SITUATION = createField(DSL.name(""situation""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(Status.class), this, """");","The 'situation' column uses an ENUM type (Status) which embeds allowed values in the column definition, making it difficult to add or modify status values without schema changes. Consider creating a separate 'status' lookup table and referencing it with a foreign key."
marcato10_manaca-framework,ID Required,src/main/java/com/marcato/springmarcatoerp/entity/tables/EmployeesIdentifier.java,65,65,"public final TableField<EmployeesIdentifierRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key even though a natural unique key (UQ_IDENTIFIER on TYPE and IDENTIFIER columns) already exists that could serve as the primary key. Consider using the composite key (type, identifier) as the primary key, or rename the synthetic key to something more descriptive like 'employees_identifier_id'."
marcato10_manaca-framework,31 Flavors,src/main/java/com/marcato/springmarcatoerp/entity/tables/EmployeesIdentifier.java,75,75,"public final TableField<EmployeesIdentifierRecord, String> TYPE = createField(DSL.name(""type""), SQLDataType.VARCHAR(10).nullable(false), this, """");","The TYPE column uses a CHECK constraint (check_identifier_type) to restrict values to 'CPF' and 'CNPJ' instead of using a lookup table. Consider creating an 'identifier_type' lookup table to store allowed types, which makes it easier to add new types without schema changes and enables storing additional metadata about each type."
marcato10_manaca-framework,ID Required,src/main/java/com/marcato/springmarcatoerp/entity/tables/Role.java,64,64,"public final TableField<RoleRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'role_id'. Consider renaming the primary key to 'role_id' to make it self-documenting and to avoid ambiguity when joining tables.
marcato10_manaca-framework,ID Required,src/main/java/com/marcato/springmarcatoerp/entity/tables/Sector.java,64,64,"public final TableField<SectorRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'sector_id'. Consider renaming the primary key to 'sector_id' to make it self-documenting and to avoid ambiguity when joining tables.
marcato10_manaca-framework,ID Required,src/main/java/com/marcato/springmarcatoerp/entity/tables/UserErp.java,60,60,"public final TableField<UserErpRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while having a unique constraint on 'user_uuid' which is a natural, immutable identifier suitable as a primary key. Consider using 'user_uuid' as the primary key instead, or at minimum rename 'id' to something more descriptive like 'usererp_id'."
marcato10_manaca-framework,Implicit Columns,src/main/java/com/marcato/springmarcatoerp/service/UserService.java,25,25,create.selectFrom(UserErp.USERERP),"Using selectFrom() fetches all columns from the UserErp table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for this operation."
marcato10_manaca-framework,Implicit Columns,src/main/java/com/marcato/springmarcatoerp/service/UserService.java,30,30,create.selectFrom(UserErp.USERERP),"Using selectFrom() fetches all columns from the UserErp table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for this operation."
