Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
SightStudio_blog-code,Poor Man's Search Engine,dependent-subquery/application/src/main/java/com/sight/application/config/jooq/BaseJooqRepository.java,29,29,"return column.like(""%"" + searchInput + ""%"");","Using LIKE with wildcards on both sides ('%searchInput%') for full-text search is inefficient as it cannot use indexes and performs poorly on large datasets. Consider using a dedicated full-text search engine like Elasticsearch, or database-native full-text search features (e.g., PostgreSQL's tsvector/tsquery or MySQL's FULLTEXT indexes)."
SightStudio_blog-code,Poor Man's Search Engine,jooq-advanced/src/main/java/com/sightstudio/jooq/app/domain/author/AuthorRepository.java,108,108,"likeIfNotEmpty(AUTHOR.FIRST_NAME, searchRequest.getFirstName()),",Using LIKE for searching author first names may perform poorly on large datasets since it cannot use standard indexes effectively. Consider using a full-text search index or a dedicated search engine like Elasticsearch for text searching.
SightStudio_blog-code,Poor Man's Search Engine,jooq-advanced/src/main/java/com/sightstudio/jooq/app/domain/author/AuthorRepository.java,109,109,"likeIfNotEmpty(AUTHOR.LAST_NAME, searchRequest.getFirstName())",Using LIKE for searching author last names may perform poorly on large datasets since it cannot use standard indexes effectively. Consider using a full-text search index or a dedicated search engine like Elasticsearch for text searching.
SightStudio_blog-code,Poor Man's Search Engine,jooq-advanced/src/main/java/com/sightstudio/jooq/config/jooq/BaseJooqRepository.java,29,29,"return column.like(""%"" + searchInput + ""%"");","Using LIKE with wildcards on both sides ('%searchInput%') for full-text search is inefficient as it cannot use indexes and performs poorly on large datasets. Consider using a dedicated full-text search solution like PostgreSQL's tsvector/tsquery, Elasticsearch, or database-specific full-text indexes."
SightStudio_blog-code,Implicit Columns,jooq-codegen-with-entity/application/src/main/java/com/sight/application/app/domain/board/BoardRepository.java,62,62,return dsl.select(board.asterisk()),"Using `asterisk()` fetches all columns from the BOARD table, which can retrieve unnecessary data and break if the schema changes. Explicitly list only the columns needed for the Board entity."
SightStudio_blog-code,Implicit Columns,jooq-codegen-with-entity/application/src/main/java/com/sight/application/app/domain/board/BoardRepository.java,75,75,return dsl.select(),"Using `select()` without specifying columns fetches all columns from the BOARD table, which retrieves unnecessary data and couples the code to the table schema. Explicitly specify only the required columns."
SightStudio_blog-code,Implicit Columns,jooq-codegen-with-entity/application/src/main/java/com/sight/application/app/domain/board/BoardRepository.java,84,84,return dsl.select(),Using `select()` without specifying columns fetches all columns from the BOARD table. Explicitly list only the columns needed for the Board entity to improve performance and maintainability.
SightStudio_blog-code,Poor Man's Search Engine,jooq-codegen-with-entity/application/src/main/java/com/sight/application/app/domain/board/BoardRepository.java,87,88,"likeIfNotEmpty(board.TITLE, search.getTitleKeyword()),
likeIfNotEmpty(board.CONTENT, search.getContentKeyword()),",Using LIKE for searching title and content keywords may perform poorly on large datasets since it cannot use standard indexes effectively. Consider using a full-text search index or a dedicated search engine like Elasticsearch.
SightStudio_blog-code,Implicit Columns,jooq-codegen-with-entity/application/src/main/java/com/sight/application/app/domain/board/BoardRepository.java,99,99,return dsl.select(),Using `select()` without specifying columns fetches all columns from the BOARD table. Explicitly list only the columns needed for the Board entity to avoid retrieving unnecessary data.
SightStudio_blog-code,Poor Man's Search Engine,jooq-codegen-with-entity/application/src/main/java/com/sight/application/app/domain/board/BoardRepository.java,102,103,"likeIfNotEmpty(board.TITLE, search.getTitleKeyword(), TextSearchWildcard.FULL_TEXT),
likeIfNotEmpty(board.CONTENT, search.getContentKeyword(), TextSearchWildcard.FULL_TEXT),",Using LIKE with `FULL_TEXT` wildcards for searching title and content is inefficient for full-text search as it cannot leverage indexes. Use database-native full-text search capabilities or a dedicated search engine.
SightStudio_blog-code,Poor Man's Search Engine,jooq-codegen-with-entity/application/src/main/java/com/sight/application/app/domain/board/BoardRepository.java,125,126,"likeIfNotEmpty(board.TITLE, search.getTitleKeyword()),
likeIfNotEmpty(board.CONTENT, search.getContentKeyword()),",Using LIKE for searching title and content keywords may result in slow queries on large tables. Consider implementing full-text search using database-native features or a search engine like Elasticsearch.
SightStudio_blog-code,Poor Man's Search Engine,jooq-codegen-with-entity/application/src/main/java/com/sight/application/app/domain/board/BoardRepository.java,152,153,"likeIfNotEmpty(board.TITLE, search.getTitleKeyword()),
likeIfNotEmpty(board.CONTENT, search.getContentKeyword()),",Using LIKE for searching title and content keywords cannot efficiently use indexes for pattern matching. Replace with full-text search indexes or a dedicated search solution for better performance.
SightStudio_blog-code,Poor Man's Search Engine,jooq-codegen-with-entity/application/src/main/java/com/sight/application/config/jooq/conditional/JooqTextConditional.java,19,19,"return column.like(""%"" + searchInput + ""%"");","Using LIKE with wildcards on both sides ('%searchInput%') for full-text search is inefficient as it cannot use indexes and performs poorly on large datasets. Consider using a dedicated full-text search solution like PostgreSQL's tsvector/tsquery, Elasticsearch, or database-specific full-text indexes."
SightStudio_blog-code,Poor Man's Search Engine,jooq-codegen-with-entity/application/src/main/java/com/sight/application/config/jooq/conditional/JooqTextConditional.java,21,21,"return column.like(""%"" + searchInput);",Using LIKE with a leading wildcard ('%searchInput') prevents index usage and results in full table scans. Consider using a full-text search engine or a reverse index if suffix matching is required.
SightStudio_blog-code,Poor Man's Search Engine,jooq-codegen-with-entity/application/src/main/java/com/sight/application/config/jooq/conditional/JooqTextConditional.java,32,32,"return likeIfNotEmpty(column, searchInput, TextSearchWildcard.FULL_TEXT);","This method defaults to FULL_TEXT search mode which uses LIKE with wildcards on both sides, causing inefficient full table scans. Consider using a dedicated full-text search solution or at minimum defaulting to PREFIX search which can utilize indexes."
SightStudio_blog-code,ID Required,jooq-sight-demo/application-dsl-by-jpa/src/generated/jooq/jooq_dsl/tables/JFilmactor.java,59,59,"public final TableField<JFilmactorRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The FilmActor table uses a synthetic auto-generated 'id' column as primary key, but this is a junction table where the natural composite key (actor_id, film_id) would be more appropriate. Consider using a composite primary key on (actor_id, film_id) instead of the synthetic 'id' column."
SightStudio_blog-code,ID Required,jooq-sight-demo/application-dsl-by-jpa/src/generated/jooq/jooq_dsl/tables/JFilmcategory.java,59,59,"public final TableField<JFilmcategoryRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","This junction table uses a synthetic auto-increment 'id' column as primary key, but the natural composite key of (film_id, category_id) would be more appropriate since a film-category relationship is uniquely identified by these two foreign keys. Consider using a composite primary key on (FILM_ID, CATEGORY_ID) instead of the synthetic ID column."
SightStudio_blog-code,Keyless Entry,jooq-sight-demo/application-dsl-by-jpa/src/generated/jooq/jooq_dsl/tables/JFilmtext.java,56,56,"public final TableField<JFilmtextRecord, Integer> FILMID = createField(DSL.name(""filmId""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The 'filmId' column appears to reference the Film table (based on naming convention and the existence of Keys.CONSTRAINT_21 for JFilm.FILMID), but there is no foreign key constraint defined. Consider adding a foreign key constraint referencing the Film table's primary key to ensure referential integrity."
SightStudio_blog-code,Implicit Columns,jooq-start/src/main/java/com/sight/jooqstart/app/domain/author/AuthorRepository.java,56,56,return dsl.select(),"Using `select()` without specifying columns fetches all columns from the AUTHOR table, which retrieves unnecessary data and couples the code to the table schema. Explicitly list only the columns needed for AuthorDto, e.g., `select(AUTHOR.ID, AUTHOR.FIRST_NAME, AUTHOR.LAST_NAME, ...)`"
SightStudio_blog-code,Poor Man's Search Engine,jooq-with-jpa/application/src/main/java/com/sight/application/config/jooq/BaseJooqRepository.java,29,29,"return column.like(""%"" + searchInput + ""%"");","Using LIKE with wildcards on both sides ('%searchInput%') for full-text search is inefficient as it cannot use indexes and performs poorly on large datasets. Consider using a dedicated full-text search engine like Elasticsearch, or database-native full-text search capabilities (e.g., PostgreSQL's tsvector/tsquery)."
