Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
the-programmers-hangout_Mimic,Implicit Columns,src/main/java/uk/co/markg/mimic/database/ChannelRepository.java,62,62,dsl.selectFrom(CHANNELS),Using selectFrom(CHANNELS) fetches all columns from the CHANNELS table when only a single column is needed to check existence. Consider using dsl.select(CHANNELS.CHANNELID).from(CHANNELS) or dsl.fetchExists() instead.
the-programmers-hangout_Mimic,Implicit Columns,src/main/java/uk/co/markg/mimic/database/ChannelRepository.java,73,73,dsl.selectFrom(CHANNELS),Using selectFrom(CHANNELS) fetches all columns from the CHANNELS table when only checking for read permission. Consider using dsl.select(CHANNELS.CHANNELID).from(CHANNELS) or dsl.fetchExists() instead.
the-programmers-hangout_Mimic,Implicit Columns,src/main/java/uk/co/markg/mimic/database/ChannelRepository.java,84,84,dsl.selectFrom(CHANNELS),Using selectFrom(CHANNELS) fetches all columns from the CHANNELS table when only checking for write permission. Consider using dsl.select(CHANNELS.CHANNELID).from(CHANNELS) or dsl.fetchExists() instead.
the-programmers-hangout_Mimic,Implicit Columns,src/main/java/uk/co/markg/mimic/database/ChannelRepository.java,107,107,dsl.selectFrom(CHANNELS),"Using selectFrom(CHANNELS) fetches all columns from the CHANNELS table into POJOs. If not all columns are needed, explicitly select only the required columns to improve query performance."
the-programmers-hangout_Mimic,Implicit Columns,src/main/java/uk/co/markg/mimic/database/ChannelRepository.java,117,117,dsl.selectFrom(CHANNELS),"Using selectFrom(CHANNELS) fetches all columns from the CHANNELS table into POJOs. If not all columns are needed, explicitly select only the required columns to improve query performance."
the-programmers-hangout_Mimic,Implicit Columns,src/main/java/uk/co/markg/mimic/database/ServerConfigRepository.java,43,43,return dsl.selectFrom(SERVER_CONFIG).where(SERVER_CONFIG.SERVERID.eq(serverid)),"Using `selectFrom(SERVER_CONFIG)` fetches all columns from the ServerConfig table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using `select(...)` instead."
the-programmers-hangout_Mimic,Implicit Columns,src/main/java/uk/co/markg/mimic/database/ServerConfigRepository.java,79,79,"return dsl.selectFrom(SERVER_CONFIG).where(SERVER_CONFIG.SERVERID.eq(serverid)).fetchOne(0,",Using `selectFrom(SERVER_CONFIG)` fetches all columns when only checking for existence. Consider using `dsl.fetchExists(dsl.selectOne().from(SERVER_CONFIG).where(...))` or `dsl.selectCount().from(SERVER_CONFIG).where(...)` instead.
the-programmers-hangout_Mimic,Implicit Columns,src/main/java/uk/co/markg/mimic/database/UserRepository.java,51,51,dsl.selectFrom(USERS),"Using selectFrom(USERS) fetches all columns from the USERS table, which may retrieve unnecessary data. Consider using an explicit select with only the required columns, e.g., dsl.select(USERS.USERID, USERS.SERVERID).from(USERS)."
the-programmers-hangout_Mimic,Implicit Columns,src/main/java/uk/co/markg/mimic/database/UserRepository.java,106,106,dsl.selectFrom(USERS),Using selectFrom(USERS) fetches all columns when only checking for existence. Replace with dsl.fetchExists(dsl.selectOne().from(USERS).where(...)) or use selectCount() for a more efficient existence check.
the-programmers-hangout_Mimic,Keyless Entry,src/main/java/uk/co/markg/mimic/db/tables/Channels.java,67,67,"public final TableField<ChannelsRecord, Long> SERVERID = createField(DSL.name(""serverid""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");","The SERVERID column appears to reference the ServerConfig table (which has SERVER_CONFIG_PKEY on SERVERID), but lacks a foreign key constraint. Add a foreign key constraint referencing ServerConfig.SERVERID to ensure referential integrity."
the-programmers-hangout_Mimic,Keyless Entry,src/main/java/uk/co/markg/mimic/db/tables/Messages.java,74,74,"public final TableField<MessagesRecord, Long> SERVERID = createField(DSL.name(""serverid""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");","The SERVERID column appears to reference the ServerConfig table (which has SERVER_CONFIG_PKEY on SERVERID), but lacks a foreign key constraint. Add a foreign key constraint referencing the ServerConfig table to ensure referential integrity."
the-programmers-hangout_Mimic,ID Required,src/main/java/uk/co/markg/mimic/db/tables/Usage.java,54,54,"public final TableField<UsageRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).defaultValue(org.jooq.impl.DSL.field(""nextval('usage_id_seq'::regclass)"", org.jooq.impl.SQLDataType.INTEGER)), this, """");","The primary key is named just 'id', which is a generic name that doesn't convey meaning about the table it belongs to. Consider renaming it to 'usage_id' to make it more descriptive and to avoid ambiguity in queries with joins."
the-programmers-hangout_Mimic,Keyless Entry,src/main/java/uk/co/markg/mimic/db/tables/Usage.java,64,64,"public final TableField<UsageRecord, Long> SERVERID = createField(DSL.name(""serverid""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");","The 'serverid' column appears to reference the ServerConfig table (which has SERVER_CONFIG_PKEY on SERVERID), but there is no foreign key constraint defined. Add a foreign key constraint referencing ServerConfig.SERVERID to ensure referential integrity."
the-programmers-hangout_Mimic,Keyless Entry,src/main/java/uk/co/markg/mimic/db/tables/Users.java,57,57,"public final TableField<UsersRecord, Long> SERVERID = createField(DSL.name(""serverid""), org.jooq.impl.SQLDataType.BIGINT.nullable(false), this, """");",The SERVERID column appears to reference the ServerConfig table (which has SERVER_CONFIG_PKEY on SERVERID) but lacks a foreign key constraint. Add a foreign key constraint referencing ServerConfig.SERVERID to ensure referential integrity.
