Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/bank/org/example/jooq/bank/tables/LootDiffByTaxId.java,59,59,"public final TableField<LootDiffByTaxIdRecord, Integer> TAX_ID = createField(DSL.name(""tax_id""), SQLDataType.INTEGER.nullable(false), this, """");",The TAX_ID column appears to reference the TAX_BRACKETS table (via TAX_BRACKETS.ID primary key) but lacks a foreign key constraint. Add a foreign key constraint referencing the TAX_BRACKETS table to ensure referential integrity.
xdnw_Diplocutus,ID Required,build/generated-src/jooq/bank/org/example/jooq/bank/tables/TaxBrackets.java,54,54,"public final TableField<TaxBracketsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");","The primary key column is named generically 'id' instead of a more descriptive name like 'tax_bracket_id'. Consider renaming the column to something more meaningful that identifies what entity it represents, such as 'tax_bracket_id'."
xdnw_Diplocutus,ID Required,build/generated-src/jooq/bank/org/example/jooq/bank/tables/TaxDepositsDate.java,73,73,"public final TableField<TaxDepositsDateRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");","The table has a synthetic 'id' column even though a natural primary key already exists on (ALLIANCE, DATE, NATION) as shown in the Keys class. Consider removing the redundant 'id' column and using the existing composite natural key as the primary key."
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/bank/org/example/jooq/bank/tables/TaxEstimate.java,54,54,"public final TableField<TaxEstimateRecord, Integer> TAX_ID = createField(DSL.name(""tax_id""), SQLDataType.INTEGER.nullable(false), this, """");","The column 'tax_id' appears to reference the TAX_BRACKETS table (which has a primary key on ID), but lacks a foreign key constraint. Add a foreign key constraint referencing TAX_BRACKETS.ID to ensure referential integrity."
xdnw_Diplocutus,Beware of the Unknown,build/generated-src/jooq/locutus/org/example/jooq/locutus/tables/ApiKeys2.java,59,59,"public final TableField<ApiKeys2Record, Long> API_KEY = createField(DSL.name(""api_key""), SQLDataType.BIGINT, this, """");","The API_KEY column is nullable but likely represents an API key that should either exist or be explicitly NULL. If a missing API key has semantic meaning, consider making the column NOT NULL with proper validation, or ensure NULL is used intentionally to represent 'no key assigned'."
xdnw_Diplocutus,Beware of the Unknown,build/generated-src/jooq/locutus/org/example/jooq/locutus/tables/ApiKeys2.java,64,64,"public final TableField<ApiKeys2Record, Long> BOT_KEY = createField(DSL.name(""bot_key""), SQLDataType.BIGINT, this, """");","The BOT_KEY column is nullable but likely represents a bot key that should either exist or be explicitly NULL. If a missing bot key has semantic meaning, consider making the column NOT NULL with proper validation, or ensure NULL is used intentionally to represent 'no key assigned'."
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/locutus/org/example/jooq/locutus/tables/Users.java,54,54,"public final TableField<UsersRecord, Integer> NATION_ID = createField(DSL.name(""nation_id""), SQLDataType.INTEGER.nullable(false), this, """");","The NATION_ID column appears to reference another table (likely the VERIFIED table which has NATION_ID as its primary key), but lacks a foreign key constraint. Add a foreign key constraint referencing the appropriate table to ensure referential integrity."
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/Activity.java,54,54,"public final TableField<ActivityRecord, Integer> NATION = createField(DSL.name(""nation""), SQLDataType.INTEGER.nullable(false), this, """");",The 'nation' column appears to reference a nation entity (likely the Nations2 table with primary key NATION_ID) but lacks a foreign key constraint. Add a foreign key constraint referencing the Nations2 table to ensure referential integrity.
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/AllianceMetrics.java,54,54,"public final TableField<AllianceMetricsRecord, Integer> ALLIANCE_ID = createField(DSL.name(""alliance_id""), SQLDataType.INTEGER.nullable(false), this, """");","The ALLIANCE_ID column appears to reference the ALLIANCES table (which has a primary key on ID), but no foreign key constraint is defined. Add a foreign key constraint referencing ALLIANCES.ID to ensure referential integrity."
xdnw_Diplocutus,ID Required,build/generated-src/jooq/nations/org/example/jooq/nations/tables/Alliances.java,54,54,"public final TableField<AlliancesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'alliance_id'. Consider renaming the column to 'alliance_id' to make it self-documenting and avoid ambiguity when joining tables.
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/BeigeReminders.java,54,54,"public final TableField<BeigeRemindersRecord, Integer> TARGET = createField(DSL.name(""target""), SQLDataType.INTEGER.nullable(false), this, """");",The 'target' column appears to reference a nation but lacks a foreign key constraint to the NATIONS2 table (which has NATION_ID as its primary key). Add a foreign key constraint referencing NATIONS2.NATION_ID to ensure referential integrity.
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/BeigeReminders.java,59,59,"public final TableField<BeigeRemindersRecord, Integer> ATTACKER = createField(DSL.name(""attacker""), SQLDataType.INTEGER.nullable(false), this, """");",The 'attacker' column appears to reference a nation but lacks a foreign key constraint to the NATIONS2 table (which has NATION_ID as its primary key). Add a foreign key constraint referencing NATIONS2.NATION_ID to ensure referential integrity.
xdnw_Diplocutus,ID Required,build/generated-src/jooq/nations/org/example/jooq/nations/tables/CityBuilds.java,54,54,"public final TableField<CityBuildsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'city_build_id'. Consider renaming the column to something more meaningful that identifies what entity it represents, such as 'city_build_id'."
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/Kicks.java,52,52,"public final TableField<KicksRecord, Integer> NATION = createField(DSL.name(""nation""), SQLDataType.INTEGER.nullable(false), this, """");","The 'nation' column appears to reference the Nations2 table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Nations2.NATION_ID to ensure referential integrity."
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/Kicks.java,57,57,"public final TableField<KicksRecord, Integer> ALLIANCE = createField(DSL.name(""alliance""), SQLDataType.INTEGER.nullable(false), this, """");","The 'alliance' column appears to reference the Alliances table but lacks a foreign key constraint, risking data integrity issues with invalid alliance references. Add a foreign key constraint referencing Alliances.ID to enforce referential integrity."
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/LootEstimate.java,54,54,"public final TableField<LootEstimateRecord, Integer> NATION_ID = createField(DSL.name(""nation_id""), SQLDataType.INTEGER.nullable(false), this, """");",The column 'nation_id' appears to reference the NATIONS2 table (which has a primary key on 'nation_id') but lacks a foreign key constraint. Add a foreign key constraint referencing NATIONS2.NATION_ID to ensure referential integrity.
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/NationLoot3.java,54,54,"public final TableField<NationLoot3Record, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");",The 'id' column appears to reference a nation but lacks a foreign key constraint to enforce referential integrity. Consider adding a foreign key constraint referencing the NATIONS2 table's NATION_ID primary key.
xdnw_Diplocutus,ID Required,build/generated-src/jooq/nations/org/example/jooq/nations/tables/NationMilHistory.java,58,58,"public final TableField<NationMilHistoryRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");","The table uses a generic 'id' column as part of its primary key, but the actual primary key is a composite of (ID, DATE). Since the table already has a natural composite key combining the nation ID and date, the synthetic 'id' column name is misleading. Consider renaming 'id' to something more descriptive like 'nation_id' to better reflect its purpose."
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/Nations2.java,63,63,"public final TableField<Nations2Record, Integer> ALLIANCE_ID = createField(DSL.name(""alliance_id""), SQLDataType.INTEGER.nullable(false), this, """");","The ALLIANCE_ID column appears to reference the ALLIANCES table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the ALLIANCES.ID primary key."
xdnw_Diplocutus,ID Required,build/generated-src/jooq/nations/org/example/jooq/nations/tables/Positions.java,54,54,"public final TableField<PositionsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'position_id'. Consider renaming the column to 'position_id' to make it self-documenting and avoid ambiguity in joins.
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/Positions.java,59,59,"public final TableField<PositionsRecord, Integer> ALLIANCE_ID = createField(DSL.name(""alliance_id""), SQLDataType.INTEGER.nullable(false), this, """");","The column 'alliance_id' appears to reference the ALLIANCES table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing ALLIANCES.ID to ensure referential integrity."
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/SpiesBuildup.java,54,54,"public final TableField<SpiesBuildupRecord, Integer> NATION = createField(DSL.name(""nation""), SQLDataType.INTEGER.nullable(false), this, """");",The NATION column appears to reference a nation entity but lacks a foreign key constraint to the NATIONS2 table (which has NATION_ID as its primary key). Add a foreign key constraint referencing NATIONS2.NATION_ID to ensure referential integrity.
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/nations/org/example/jooq/nations/tables/SpyActivity.java,54,54,"public final TableField<SpyActivityRecord, Integer> NATION = createField(DSL.name(""nation""), SQLDataType.INTEGER.nullable(false), this, """");",The 'nation' column appears to reference a nation entity but lacks a foreign key constraint to the Nations2 table (which has NATIONS2.NATION_ID as its primary key). Add a foreign key constraint referencing the Nations2 table to ensure referential integrity.
xdnw_Diplocutus,ID Required,build/generated-src/jooq/nations/org/example/jooq/nations/tables/Treaties2.java,54,54,"public final TableField<Treaties2Record, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'treaty_id'. Consider renaming the column to 'treaty_id' to make it self-documenting and avoid ambiguity in queries with joins.
xdnw_Diplocutus,ID Required,build/generated-src/jooq/trade/org/example/jooq/trade/tables/ColorBloc.java,54,54,"public final TableField<ColorBlocRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'color_bloc_id' or a more descriptive name that reflects the entity it identifies."
xdnw_Diplocutus,Keyless Entry,build/generated-src/jooq/trade/org/example/jooq/trade/tables/Subscriptions_2.java,54,54,"public final TableField<Subscriptions_2Record, Long> USER = createField(DSL.name(""user""), SQLDataType.BIGINT.nullable(false), this, """");","The 'user' column appears to reference a users table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Consider adding a foreign key constraint to ensure referential integrity with the users table."
