Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ralscha_realworld-spring-boot-jooq,Implicit Columns,src/main/java/ch/rasc/realworld/config/JwtTokenFilter.java,41,41,var record = this.dsl.selectFrom(APP_USER).where(APP_USER.ID.eq(userId)).fetchOne();,"Using `selectFrom(APP_USER)` fetches all columns from the APP_USER table, which may retrieve more data than needed. Consider using an explicit column selection like `dsl.select(APP_USER.ID, APP_USER.USERNAME, ...).from(APP_USER)` to fetch only the columns required for the AuthenticatedUser."
ralscha_realworld-spring-boot-jooq,Implicit Columns,src/main/java/ch/rasc/realworld/controller/ArticlesController.java,95,95,var articlesRecords = this.dsl.selectFrom(ARTICLE).where(ARTICLE.USER_ID.in(followUserIds)).offset(offset),"Using `selectFrom(ARTICLE)` fetches all columns from the ARTICLE table, which may retrieve unnecessary data and impact performance. Explicitly specify only the columns needed, e.g., `select(ARTICLE.ID, ARTICLE.TITLE, ...)`."
ralscha_realworld-spring-boot-jooq,Implicit Columns,src/main/java/ch/rasc/realworld/controller/ArticlesController.java,117,117,var articlesQuery = this.dsl.select(ARTICLE.fields()).from(ARTICLE);,"Using `ARTICLE.fields()` selects all columns from the ARTICLE table, which can retrieve unnecessary data. Explicitly list only the required columns such as `select(ARTICLE.ID, ARTICLE.USER_ID, ARTICLE.SLUG, ...)`."
ralscha_realworld-spring-boot-jooq,Implicit Columns,src/main/java/ch/rasc/realworld/controller/CommentsController.java,78,78,var commentRecords = this.dsl.selectFrom(COMMENT).where(COMMENT.ARTICLE_ID.eq(record.get(ARTICLE.ID))).fetch();,"Using `selectFrom(COMMENT)` fetches all columns from the COMMENT table, even though only id, createdAt, updatedAt, body, and userId are used. Replace with an explicit select specifying only the required columns: `select(COMMENT.ID, COMMENT.CREATED_AT, COMMENT.UPDATED_AT, COMMENT.BODY, COMMENT.USER_ID).from(COMMENT)`."
ralscha_realworld-spring-boot-jooq,Implicit Columns,src/main/java/ch/rasc/realworld/controller/CommentsController.java,86,86,var userRecord = this.dsl.selectFrom(APP_USER).where(APP_USER.ID.eq(commentRecord.getUserId())).fetchOne();,"Using `selectFrom(APP_USER)` fetches all columns from the APP_USER table, but only username, bio, image, and id are used. Replace with an explicit select: `select(APP_USER.ID, APP_USER.USERNAME, APP_USER.BIO, APP_USER.IMAGE).from(APP_USER)`."
ralscha_realworld-spring-boot-jooq,Implicit Columns,src/main/java/ch/rasc/realworld/controller/CurrentUserController.java,38,38,var userRecord = this.dsl.selectFrom(APP_USER).where(APP_USER.ID.eq(currentUser.getId())).fetchOne();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table, but only email, username, bio, and image are used. Replace with an explicit select statement: dsl.select(APP_USER.EMAIL, APP_USER.USERNAME, APP_USER.BIO, APP_USER.IMAGE).from(APP_USER)."
ralscha_realworld-spring-boot-jooq,Implicit Columns,src/main/java/ch/rasc/realworld/controller/CurrentUserController.java,80,80,var userRecord = this.dsl.selectFrom(APP_USER).where(APP_USER.ID.eq(currentUser.getId())).fetchOne();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table, but only email, username, bio, and image are used. Replace with an explicit select statement: dsl.select(APP_USER.EMAIL, APP_USER.USERNAME, APP_USER.BIO, APP_USER.IMAGE).from(APP_USER)."
ralscha_realworld-spring-boot-jooq,Implicit Columns,src/main/java/ch/rasc/realworld/controller/ProfileController.java,33,33,var userRecord = this.dsl.selectFrom(APP_USER).where(APP_USER.USERNAME.eq(username)).fetchOne();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table, but only username, bio, and image are used. Select only the required columns explicitly, e.g., dsl.select(APP_USER.ID, APP_USER.USERNAME, APP_USER.BIO, APP_USER.IMAGE).from(APP_USER)."
ralscha_realworld-spring-boot-jooq,Implicit Columns,src/main/java/ch/rasc/realworld/controller/ProfileController.java,51,51,var userRecord = this.dsl.selectFrom(APP_USER).where(APP_USER.USERNAME.eq(username)).fetchOne();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table, but only id, username, bio, and image are used. Select only the required columns explicitly, e.g., dsl.select(APP_USER.ID, APP_USER.USERNAME, APP_USER.BIO, APP_USER.IMAGE).from(APP_USER)."
ralscha_realworld-spring-boot-jooq,Implicit Columns,src/main/java/ch/rasc/realworld/controller/ProfileController.java,71,71,var userRecord = this.dsl.selectFrom(APP_USER).where(APP_USER.USERNAME.eq(username)).fetchOne();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table, but only id, username, bio, and image are used. Select only the required columns explicitly, e.g., dsl.select(APP_USER.ID, APP_USER.USERNAME, APP_USER.BIO, APP_USER.IMAGE).from(APP_USER)."
ralscha_realworld-spring-boot-jooq,Implicit Columns,src/main/java/ch/rasc/realworld/controller/UsersController.java,84,84,var userRecord = this.dsl.selectFrom(APP_USER).where(APP_USER.EMAIL.eq(loginParam.email())).fetchOne();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table, including potentially sensitive or unnecessary data like the password hash. Consider explicitly selecting only the required columns: ID, EMAIL, USERNAME, BIO, IMAGE, and PASSWORD for verification."
ralscha_realworld-spring-boot-jooq,ID Required,src/main/java/ch/rasc/realworld/db/tables/AppUser.java,56,57,"public final TableField<AppUserRecord, Long> ID = createField(DSL.name(""ID""),
 SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, while unique constraints on USERNAME and EMAIL already exist. Consider using USERNAME or EMAIL as a natural primary key, or rename the ID column to something more descriptive like 'APP_USER_ID'."
