Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
BinaryIgor_tools-and-templates,Implicit Columns,src/apps/app-processor-template/src/test/java/io/codyn/app/processor/template/user/test/TestSqlUserClient.java,57,57,.selectFrom(USER),"Using selectFrom(USER) fetches all columns from the USER table, which may retrieve unnecessary data and reduce query performance. Consider explicitly selecting only the required columns: USER.ID, USER.NAME, USER.EMAIL, USER.PASSWORD, USER.STATE, and USER.SECOND_FACTOR_AUTH."
BinaryIgor_tools-and-templates,Implicit Columns,src/apps/app-template/src/main/java/io/codyn/app/template/project/infra/SqlProjectRepository.java,38,38,context.selectFrom(PROJECT),"Using selectFrom(PROJECT) fetches all columns from the PROJECT table into a record, which retrieves more data than may be needed. Consider explicitly selecting only the required columns using context.select(...).from(PROJECT)."
BinaryIgor_tools-and-templates,Implicit Columns,src/apps/app-template/src/main/java/io/codyn/app/template/user/auth/infra/SqlUserRepository.java,40,40,.selectFrom(USER),"Using selectFrom(USER) fetches all columns from the USER table, which may retrieve unnecessary data and reduce performance. Consider explicitly selecting only the required columns, e.g., .select(USER.ID, USER.EMAIL, ...).from(USER)."
BinaryIgor_tools-and-templates,Implicit Columns,src/apps/app-template/src/main/java/io/codyn/app/template/user/auth/infra/SqlUserRepository.java,48,48,.selectFrom(USER),"Using selectFrom(USER) fetches all columns from the USER table, which may retrieve unnecessary data and reduce performance. Consider explicitly selecting only the required columns needed to construct the User object."
BinaryIgor_tools-and-templates,Implicit Columns,src/apps/app-template/src/main/java/io/codyn/app/template/user/common/infra/SqlActivationTokenRepository.java,54,54,.selectFrom(ACTIVATION_TOKEN),"Using selectFrom() fetches all columns from the ACTIVATION_TOKEN table, which may retrieve unnecessary data. Consider using an explicit select() with only the required columns (USER_ID, TYPE, STATUS, TOKEN, EXPIRES_AT) instead."
BinaryIgor_tools-and-templates,Implicit Columns,src/apps/app-template/src/test/java/io/codyn/app/template/user/auth/infra/SqlUserRepositoryTest.java,108,108,return context.selectFrom(USER),"Using selectFrom(USER) fetches all columns from the USER table, even though only specific fields are needed for the User object. Replace with an explicit column selection like context.select(USER.ID, USER.NAME, USER.EMAIL, USER.PASSWORD, USER.STATE, USER.SECOND_FACTOR_AUTH).from(USER)."
BinaryIgor_tools-and-templates,ID Required,src/commons/sql-db/schema/project/src/main/java/io/codyn/sqldb/schema/project/tables/Project.java,54,54,"public final TableField<ProjectRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about what it identifies. Consider renaming it to 'project_id' to make it more descriptive and to avoid ambiguity when joining tables."
BinaryIgor_tools-and-templates,Keyless Entry,src/commons/sql-db/schema/project/src/main/java/io/codyn/sqldb/schema/project/tables/ProjectUser.java,59,59,"public final TableField<ProjectUserRecord, UUID> USER_ID = createField(DSL.name(""user_id""), SQLDataType.UUID.nullable(false), this, """");","The USER_ID column appears to reference a user table but lacks a foreign key constraint, which could lead to orphaned records or invalid user references. Add a foreign key constraint referencing the appropriate user table's primary key."
BinaryIgor_tools-and-templates,ID Required,src/commons/sql-db/schema/project/src/main/java/io/codyn/sqldb/schema/project/tables/Task.java,55,55,"public final TableField<TaskRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'task_id'. Consider renaming the primary key to 'task_id' to make it self-documenting and avoid ambiguity in joins.
BinaryIgor_tools-and-templates,ID Required,src/commons/sql-db/schema/user/src/main/java/io/codyn/sqldb/schema/user/tables/User.java,54,54,"public final TableField<UserRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'user_id'. Consider renaming the column to 'user_id' to make it self-documenting and avoid ambiguity when joining tables.
