Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
shilohooo_learn-jooq,Keyless Entry,jooq-in-spring-boot/src/main/java/org/shiloh/jooq/codegen/tables/daos/SysUserDao.java,147,156,"public List<SysUserPojo> fetchRangeOfDeptId(Long lowerInclusive, Long upperInclusive) {
    return fetchRange(TSysUser.SYS_USER.DEPT_ID, lowerInclusive, upperInclusive);
}

/**
 * Fetch records that have <code>dept_id IN (values)</code>
 */
public List<SysUserPojo> fetchByDeptId(Long... values) {
    return fetch(TSysUser.SYS_USER.DEPT_ID, values);
}",The 'dept_id' column appears to reference the 'sys_dept' table (which has a primary key KEY_SYS_DEPT_PRIMARY) but no foreign key constraint is defined in the Keys class. Add a foreign key constraint from SYS_USER.DEPT_ID to SYS_DEPT.ID to ensure referential integrity.
shilohooo_learn-jooq,ID Required,jooq-in-spring-boot/src/main/java/org/shiloh/jooq/codegen/tables/TSysDept.java,62,62,"public final TableField<SysDeptRecord, Long> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, ""ID，自增主键"");",The primary key column is generically named 'id' instead of a more descriptive name like 'dept_id'. Consider renaming the column to 'dept_id' or 'sys_dept_id' to make it self-documenting and avoid ambiguity when joining tables.
shilohooo_learn-jooq,ID Required,jooq-in-spring-boot/src/main/java/org/shiloh/jooq/codegen/tables/TSysUser.java,62,62,"public final TableField<SysUserRecord, Long> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, ""ID，自增主键"");",The primary key is named just 'id' which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'user_id' or 'sys_user_id' to make it more descriptive and to avoid ambiguity when joining tables.
shilohooo_learn-jooq,Keyless Entry,jooq-in-spring-boot/src/main/java/org/shiloh/jooq/codegen/tables/TSysUser.java,92,92,"public final TableField<SysUserRecord, Long> DEPT_ID = createField(DSL.name(""dept_id""), org.jooq.impl.SQLDataType.BIGINT, this, ""所在部门 ID"");","The 'dept_id' column appears to reference the 'sys_dept' table but lacks a foreign key constraint, which means referential integrity is not enforced by the database. Add a foreign key constraint referencing the 'sys_dept' table's primary key to ensure data consistency."
shilohooo_learn-jooq,Implicit Columns,jooq-in-spring-boot/src/test/java/org/shiloh/jooq/test/base/JooqTests.java,48,48,final List<SysUserPojo> sysUsers = this.dslContext.select(),"Using `select()` without specifying columns fetches all columns from the table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., `select(TSysUser.SYS_USER.ID, TSysUser.SYS_USER.NAME)`."
shilohooo_learn-jooq,Implicit Columns,jooq-in-spring-boot/src/test/java/org/shiloh/jooq/test/SysUserDaoTests.java,38,38,final List<SysUserPojo> sysUsers = this.sysUserDao.fetch(SYS_USER.AGE.lt(20));,"The DAO's fetch method retrieves all columns from the SYS_USER table into SysUserPojo objects, even though only the AGE column is used in the condition. Consider using a DSLContext query with explicit column selection to fetch only the required fields."
shilohooo_learn-jooq,Implicit Columns,jooq-in-spring-boot/src/test/java/org/shiloh/jooq/test/SysUserDaoTests.java,47,47,"pageResult = this.sysUserDao.fetchPage(pageResult, SYS_USER.AGE.lt(20), SYS_USER.AGE.asc());","The DAO's fetchPage method retrieves all columns from the SYS_USER table into SysUserPojo objects, which may include unnecessary data. Consider using a DSLContext query with explicit column selection to fetch only the columns needed for the page result."
shilohooo_learn-jooq,Implicit Columns,jooq-in-spring/src/main/java/org/shiloh/App.java,21,21,final List<SysUserPojo> sysUsers = sysUserDao.findAll();,"The `findAll()` method on a jOOQ-generated DAO fetches all columns from the `SysUser` table, which can retrieve unnecessary data and impact performance. Consider using a custom query that explicitly selects only the columns you need."
shilohooo_learn-jooq,ID Required,jooq-in-spring/src/main/java/org/shiloh/jooq/codegen/tables/TSysDept.java,62,62,"public final TableField<SysDeptRecord, Long> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, ""ID，自增主键"");","The primary key column is generically named 'id' instead of a more descriptive name like 'dept_id' or 'sys_dept_id'. Consider renaming the column to something more meaningful that identifies what entity it belongs to, which improves clarity when joining tables."
shilohooo_learn-jooq,ID Required,jooq-in-spring/src/main/java/org/shiloh/jooq/codegen/tables/TSysUser.java,62,62,"public final TableField<SysUserRecord, Long> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, ""ID，自增主键"");","The primary key is named generically as 'id' rather than a more descriptive name like 'user_id' or 'sys_user_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'user_id', which makes joins and queries more self-documenting."
shilohooo_learn-jooq,Keyless Entry,jooq-in-spring/src/main/java/org/shiloh/jooq/codegen/tables/TSysUser.java,92,92,"public final TableField<SysUserRecord, Long> DEPT_ID = createField(DSL.name(""dept_id""), org.jooq.impl.SQLDataType.BIGINT, this, ""所在部门 ID"");","The 'dept_id' column references the 'sys_dept' table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing the 'sys_dept' table's primary key (KEY_SYS_DEPT_PRIMARY) to ensure data integrity."
shilohooo_learn-jooq,Implicit Columns,jooq-in-spring/src/test/java/org/shiloh/test/SysUserDaoTests.java,34,34,final List<SysUserPojo> sysUsers = this.sysUserDao.findAll();,"The DAO's findAll() method fetches all columns from the SysUser table, which may retrieve unnecessary data and impact performance. Consider creating a custom query that selects only the specific columns needed for this use case."
shilohooo_learn-jooq,Implicit Columns,jooq-in-spring/src/test/java/org/shiloh/test/SysUserDaoTests.java,63,63,final SysUserPojo sysUserPojo = this.sysUserDao.findById(1L);,The DAO's findById() method fetches all columns from the SysUser table when only specific fields may be needed. Consider using a custom query that explicitly selects only the required columns.
shilohooo_learn-jooq,Implicit Columns,jooq-in-spring/src/test/java/org/shiloh/test/SysUserDaoTests.java,70,70,final SysUserPojo rollback = this.sysUserDao.findById(this.newUserId);,"The DAO's findById() method fetches all columns from the SysUser table, potentially retrieving more data than necessary. Consider creating a projection query that selects only the columns you need."
shilohooo_learn-jooq,ID Required,quick-start/src/main/java/org/shiloh/jooq/codegen/tables/TSysDept.java,62,62,"public final TableField<SysDeptRecord, Long> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, ""ID，自增主键"");",The primary key column is generically named 'id' instead of a more descriptive name like 'dept_id'. Consider renaming the column to 'dept_id' or 'sys_dept_id' to make it self-documenting and avoid ambiguity when joining tables.
