Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
TranNgocKhoa_play-framework-java-jooq-example,Implicit Columns,app/com/khoa/play/repositories/AsyncAuthorRepository.java,32,32,jooq.dsl().select().from(LIBRARY.AUTHOR).fetchInto(Author.class),"Using `select()` without specifying columns fetches all columns from the AUTHOR table, which can retrieve unnecessary data and hurt performance. Explicitly list only the required columns, e.g., `select(LIBRARY.AUTHOR.ID, LIBRARY.AUTHOR.FIRST_NAME, ...)`."
TranNgocKhoa_play-framework-java-jooq-example,Implicit Columns,app/com/khoa/play/repositories/AsyncAuthorRepository.java,38,38,jooq.dsl().select().from(LIBRARY.AUTHOR).fetchInto(Author.class),"Using `select()` without specifying columns fetches all columns from the AUTHOR table, which can retrieve unnecessary data and hurt performance. Explicitly list only the required columns, e.g., `select(LIBRARY.AUTHOR.ID, LIBRARY.AUTHOR.FIRST_NAME, ...)`."
TranNgocKhoa_play-framework-java-jooq-example,Implicit Columns,app/com/khoa/play/repositories/AsyncAuthorRepository.java,62,63,".returning()
                    .fetchOne()","Using `returning()` without specifying columns returns all columns from the inserted record, which may include unnecessary data. Specify only the needed columns, e.g., `returning(LIBRARY.AUTHOR.ID)`."
TranNgocKhoa_play-framework-java-jooq-example,Implicit Columns,app/com/khoa/play/repositories/AuthorRepository.java,23,23,.select(),"Using select() without specifying columns fetches all columns from the AUTHOR table, which can retrieve unnecessary data and hurt performance. Specify only the required columns explicitly, e.g., .select(LIBRARY.AUTHOR.ID, LIBRARY.AUTHOR.FIRST_NAME, LIBRARY.AUTHOR.LAST_NAME)."
TranNgocKhoa_play-framework-java-jooq-example,Implicit Columns,app/com/khoa/play/repositories/AuthorRepository.java,52,52,.select(),"Using select() without specifying columns fetches all columns from the AUTHOR table when only the ID is needed for deletion. Specify only the required columns, e.g., .select(LIBRARY.AUTHOR.ID), or use selectFrom with a where clause to fetch only the necessary record."
TranNgocKhoa_play-framework-java-jooq-example,Implicit Columns,app/com/khoa/play/repositories/UserRepository.java,33,33,() -> jooq.dsl().selectFrom(LIBRARY.USER),"Using selectFrom() fetches all columns from the USER table into a UserRecord, which retrieves more data than may be needed. Consider using select() with only the specific columns required for this operation."
TranNgocKhoa_play-framework-java-jooq-example,ID Required,jooq/com/khoa/play/jooq/tables/Author.java,63,63,"public final TableField<AuthorRecord, Long> ID = createField(""id"", org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is named generically 'id' instead of a more descriptive name like 'author_id'. Consider renaming the column to 'author_id' to make foreign key relationships more self-documenting and to avoid ambiguity in queries with multiple joined tables.
TranNgocKhoa_play-framework-java-jooq-example,ID Required,jooq/com/khoa/play/jooq/tables/Book.java,62,62,"public final TableField<BookRecord, Long> ID = createField(""id"", org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is named generically 'id' instead of a more descriptive name like 'book_id'. Consider renaming the primary key to 'book_id' to make it self-documenting and easier to identify in queries involving multiple tables.
TranNgocKhoa_play-framework-java-jooq-example,ID Required,jooq/com/khoa/play/jooq/tables/Language.java,62,62,"public final TableField<LanguageRecord, Long> ID = createField(""id"", org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' as the primary key name, but the 'CD' column (a 2-character language code like 'EN', 'FR') would be a more meaningful natural key since language codes are immutable and universally recognized. Consider using 'CD' as the primary key or renaming 'id' to 'language_id' for clarity."
TranNgocKhoa_play-framework-java-jooq-example,ID Required,jooq/com/khoa/play/jooq/tables/User.java,62,62,"public final TableField<UserRecord, Long> ID = createField(""id"", org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' rather than a more descriptive name like 'user_id'. Consider renaming the primary key to 'user_id' to make it more meaningful and to simplify joins with foreign keys in other tables.
