Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ralscha_attic,Implicit Columns,sqrl/demo-server/src/main/java/ch/rasc/sqrldemo/config/AppSqrlIdentityService.java,26,26,this.dsl.selectFrom(APP_USER),"Using selectFrom() fetches all columns from the APP_USER table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for constructing AppSqrlIdentity."
ralscha_attic,Implicit Columns,sqrl/demo-server/src/main/java/ch/rasc/sqrldemo/config/AppSqrlIdentityService.java,36,36,this.dsl.select(APP_USER.asterisk()).from(APP_USER),"Using asterisk() fetches all columns from the APP_USER table, which may include unnecessary data. Consider explicitly selecting only the columns required for the AppSqrlIdentity object."
ralscha_attic,Implicit Columns,sqrl/demo-server/src/main/java/ch/rasc/sqrldemo/config/AppSqrlIdentityService.java,59,59,txDsl.selectFrom(APP_USER),"Using selectFrom() fetches all columns from the APP_USER table when only IDENTITY_KEY and ID are used. Consider using select(APP_USER.IDENTITY_KEY, APP_USER.ID) to fetch only the required columns."
ralscha_attic,ID Required,sqrl/demo-server/src/main/java/ch/rasc/sqrldemo/db/tables/AppUser.java,56,57,"public final TableField<AppUserRecord, Long> ID = createField(DSL.name(""ID""),
    org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, but there's already a unique constraint on IDENTITY_KEY (CONSTRAINT_76) which could serve as a natural primary key. Consider using IDENTITY_KEY as the primary key instead of the synthetic ID column, or at minimum rename ID to something more descriptive like APP_USER_ID."
ralscha_attic,Implicit Columns,travellog/server/src/main/java/ch/rasc/travellog/controller/AdminController.java,43,43,var result = this.dsl.selectFrom(APP_USER).fetch();,"Using selectFrom(APP_USER) fetches all columns from the APP_USER table, which may retrieve unnecessary data and reduce performance. Consider using select() with only the specific columns needed for creating the User DTO."
ralscha_attic,Implicit Columns,travellog/server/src/main/java/ch/rasc/travellog/controller/AuthController.java,73,74,"this.dsl.selectFrom(APP_USER)
        .where(APP_USER.EMAIL.eq(username)).fetchOne();","Using `selectFrom(APP_USER)` fetches all columns from the APP_USER table, which may include unnecessary data and reduce query performance. Consider using an explicit column selection like `select(APP_USER.ID, APP_USER.PASSWORD_HASH, APP_USER.ENABLED, APP_USER.EXPIRED, APP_USER.AUTHORITY)` to fetch only the required fields."
ralscha_attic,Implicit Columns,travellog/server/src/main/java/ch/rasc/travellog/controller/ProfileController.java,232,232,return this.dsl.selectFrom(APP_SESSION),"Using selectFrom(APP_SESSION) fetches all columns from the APP_SESSION table, which may retrieve unnecessary data. Consider using an explicit select() with only the required columns (ID, LAST_ACCESS, IP, USER_AGENT)."
ralscha_attic,ID Required,travellog/server/src/main/java/ch/rasc/travellog/db/tables/AppUser.java,59,60,"public final TableField<AppUserRecord, Long> ID = createField(DSL.name(""id""),
 SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key named 'id', but there's already a unique constraint on 'email' (KEY_APP_USER_EMAIL) which could serve as a natural primary key since email addresses are virtually immutable for user identification. Consider using 'email' as the primary key or renaming 'id' to something more descriptive like 'app_user_id'."
ralscha_attic,31 Flavors,travellog/server/src/main/java/ch/rasc/travellog/db/tables/AppUser.java,87,88,"public final TableField<AppUserRecord, String> AUTHORITY = createField(
 DSL.name(""authority""), SQLDataType.VARCHAR(10).nullable(false), this, """");","The 'authority' column uses a CHECK constraint to restrict values to 'USER' and 'ADMIN', which makes it difficult to add new authority types without modifying the schema. Consider creating a separate 'authority' lookup table and referencing it with a foreign key."
ralscha_attic,ID Required,travellog/server/src/main/java/ch/rasc/travellog/db/tables/Log.java,60,61,"public final TableField<LogRecord, Long> ID = createField(DSL.name(""id""),
 SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'log_id'. Consider renaming the column to 'log_id' to make it self-documenting and avoid ambiguity when joining tables.
