Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
sfk25_annually_report,Implicit Columns,src/main/java/jp/co/sfk25/annually_report/domain/repository/ArticleProcessRepository.java,23,23,dslContext.selectFrom(ARTICLES_PROCESSES),"Using selectFrom() fetches all columns from the ARTICLES_PROCESSES table, but only ARTICLE_ID and PROCESS_ID are used in toEntity(). Consider using select(ARTICLES_PROCESSES.ARTICLE_ID, ARTICLES_PROCESSES.PROCESS_ID).from(ARTICLES_PROCESSES) to explicitly specify only the needed columns."
sfk25_annually_report,Implicit Columns,src/main/java/jp/co/sfk25/annually_report/domain/repository/ArticleProcessRepository.java,27,27,dslContext.selectFrom(ARTICLES_PROCESSES),"Using selectFrom() fetches all columns from the ARTICLES_PROCESSES table, but only ARTICLE_ID and PROCESS_ID are used in toEntity(). Consider using select(ARTICLES_PROCESSES.ARTICLE_ID, ARTICLES_PROCESSES.PROCESS_ID).from(ARTICLES_PROCESSES) to explicitly specify only the needed columns."
sfk25_annually_report,Implicit Columns,src/main/java/jp/co/sfk25/annually_report/domain/repository/ArticleRepository.java,55,55,return dslContext.selectFrom(a).fetch(this::toEntity);,"Using `selectFrom(a)` fetches all columns from the ARTICLES table, which can retrieve unnecessary data and impact performance. Consider using `select()` with only the specific columns needed for the `toEntity` mapping."
sfk25_annually_report,Implicit Columns,src/main/java/jp/co/sfk25/annually_report/domain/repository/ArticleRepository.java,89,89,return dslContext.select().from(a),"Using `select()` without specifying columns fetches all columns from all joined tables, which retrieves unnecessary data. Explicitly list only the required columns from each table to improve query performance."
sfk25_annually_report,Implicit Columns,src/main/java/jp/co/sfk25/annually_report/domain/repository/ArticleRepository.java,164,164,Table table =  dslContext.select().from(at),Using `select()` without specifying columns fetches all columns from the joined tables when only `article_id` is needed. Replace with `select(at.ARTICLE_ID)` to fetch only the required column.
sfk25_annually_report,Implicit Columns,src/main/java/jp/co/sfk25/annually_report/domain/repository/ArticleRepository.java,174,174,Table table =  dslContext.select().from(ap),Using `select()` without specifying columns fetches all columns when only `article_id` is needed for the join. Replace with `select(ap.ARTICLE_ID)` to fetch only the required column.
sfk25_annually_report,Poor Man's Search Engine,src/main/java/jp/co/sfk25/annually_report/domain/repository/ArticleRepository.java,140,140,Condition condition = a.TITLE.contains(articleConds.getTitle());,"The `contains()` method performs a LIKE '%value%' search which cannot use indexes efficiently and will cause full table scans on large datasets. Consider using a full-text search index (e.g., MySQL FULLTEXT or PostgreSQL tsvector) for better performance."
sfk25_annually_report,Poor Man's Search Engine,src/main/java/jp/co/sfk25/annually_report/domain/repository/ArticleRepository.java,152,152,Condition condition = u.NAME.contains(articleConds.getUserName());,The `contains()` method performs a LIKE '%value%' search which cannot leverage indexes and degrades performance on large tables. Consider implementing full-text search capabilities or using a search engine like Elasticsearch.
sfk25_annually_report,Implicit Columns,src/main/java/jp/co/sfk25/annually_report/domain/repository/ArticleTagRepository.java,23,23,dslContext.selectFrom(ARTICLES_TAGS),"Using selectFrom() fetches all columns from the ARTICLES_TAGS table, but only ARTICLE_ID and TAG_ID are used in toEntity(). Use an explicit select() with only the required columns instead."
sfk25_annually_report,Implicit Columns,src/main/java/jp/co/sfk25/annually_report/domain/repository/ArticleTagRepository.java,27,27,dslContext.selectFrom(ARTICLES_TAGS),"Using selectFrom() fetches all columns from the ARTICLES_TAGS table, but only ARTICLE_ID and TAG_ID are used in toEntity(). Use an explicit select() with only the required columns instead."
