Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
jackbergus_java_logicalconsistency,Implicit Columns,oldmodule/src/main/java/eval/PrintHypotheses.java,141,141,List<Tuples> tuple = dao.selectFrom(Tables.TUPLES).where(Tables.TUPLES.MID.eq(neigh_node_id_1)).fetchInto(Tuples.class);,"Using `selectFrom(Tables.TUPLES)` fetches all columns from the TUPLES table, which may retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns (e.g., `dao.select(Tables.TUPLES.ARRAY_AGG, Tables.TUPLES.NISTTYPE).from(Tables.TUPLES)...`)."
jackbergus_java_logicalconsistency,Implicit Columns,oldmodule/src/main/java/it/giacomobergami/m18/Utils.java,47,47,jooq.selectFrom(Tables.TUPLES),"Using selectFrom() fetches all columns from the TUPLES table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the Tuples class."
jackbergus_java_logicalconsistency,Implicit Columns,oldmodule/src/main/java/it/giacomobergami/m18/Utils.java,51,51,jooq.selectFrom(Tables.TUPLES),"Using selectFrom() fetches all columns from the TUPLES table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the Tuples class."
jackbergus_java_logicalconsistency,Implicit Columns,oldmodule/src/main/java/it/giacomobergami/m18/Utils.java,55,55,jooq.selectFrom(Tables.TUPLES2),"Using selectFrom() fetches all columns from the TUPLES2 table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the Tuples2 class."
jackbergus_java_logicalconsistency,Implicit Columns,oldmodule/src/main/java/it/giacomobergami/m18/Utils.java,59,59,jooq.selectFrom(Tables.TUPLES2),"Using selectFrom() fetches all columns from the TUPLES2 table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns required by the asAgileRecord mapper."
jackbergus_java_logicalconsistency,Rounding Errors,oldmodule/src/main/java/org/ufl/aida/ta2/tables/Expansions.java,63,63,"public final TableField<ExpansionsRecord, Double> WEIGHT = createField(""weight"", org.jooq.impl.SQLDataType.DOUBLE, this, """");",The WEIGHT column uses DOUBLE (floating-point) type which can cause precision loss for fixed-precision values like weights or monetary amounts. Consider using DECIMAL or NUMERIC type instead to ensure exact precision.
jackbergus_java_logicalconsistency,Keyless Entry,oldmodule/src/main/java/org/ufl/aida/ta2/tables/Fact.java,53,53,"public final TableField<FactRecord, String> MID = createField(""mid"", org.jooq.impl.SQLDataType.VARCHAR, this, """");","The 'mid' column appears to reference the 'Tuples' table (which has a primary key 'PK_TUPLES' on the 'MID' column), but no foreign key constraint is defined. Add a foreign key constraint referencing the 'tuples' table to ensure referential integrity."
jackbergus_java_logicalconsistency,Rounding Errors,oldmodule/src/main/java/org/ufl/aida/ta2/tables/Tuples.java,70,70,"public final TableField<TuplesRecord, Double> SCORE = createField(""score"", org.jooq.impl.SQLDataType.DOUBLE, this, """");",The SCORE column uses DOUBLE (floating-point) type which can cause precision loss when storing fixed-precision values like scores. Consider using DECIMAL or NUMERIC type instead to ensure accurate storage and calculations.
jackbergus_java_logicalconsistency,Rounding Errors,oldmodule/src/main/java/org/ufl/aida/ta2/tables/Tuples2.java,68,68,"public final TableField<Tuples2Record, Double> SCOREEVENT = createField(""scoreEvent"", org.jooq.impl.SQLDataType.DOUBLE, this, """");",The 'scoreEvent' column uses DOUBLE which can cause precision loss for fixed-precision values like scores. Consider using DECIMAL or NUMERIC data type instead to ensure accurate storage and calculations.
jackbergus_java_logicalconsistency,Implicit Columns,oldmodule/src/main/java/org/ufl/hypogator/jackb/fuzzymatching/ldc/LDCMatching.java,108,108,db.jooq().selectFrom(Tables.ENTITYRESOLVER),"Using selectFrom() fetches all columns from the ENTITYRESOLVER table, which retrieves unnecessary data and increases memory usage. Instead, explicitly select only the required columns using select(Tables.ENTITYRESOLVER.KBIDS, Tables.ENTITYRESOLVER.TYPE, ...).from(Tables.ENTITYRESOLVER)."
jackbergus_java_logicalconsistency,Implicit Columns,oldmodule/src/main/java/org/ufl/hypogator/jackb/m18/LoadFact.java,153,153,database.jooq().selectFrom(Tables.MENTIONS_FOR_UPDATE),"Using selectFrom() fetches all columns from the MENTIONS_FOR_UPDATE table, which may retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns instead."
jackbergus_java_logicalconsistency,Implicit Columns,oldmodule/src/main/java/org/ufl/hypogator/jackb/m18/LoadFact.java,240,240,database.jooq().selectFrom(Tables.MENTIONS_FOR_UPDATE),"Using selectFrom() fetches all columns from the MENTIONS_FOR_UPDATE table, which may retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns instead."
jackbergus_java_logicalconsistency,ID Required,oldmodule/src/main/java/org/ufl/hypogator/jackb/traversers/conceptnet/jOOQ/model/tables/Edges.java,61,61,"public final TableField<EdgesRecord, Integer> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the table it belongs to. Consider renaming it to 'edge_id' to make it more descriptive and avoid ambiguity in JOIN queries.
jackbergus_java_logicalconsistency,ID Required,oldmodule/src/main/java/org/ufl/hypogator/jackb/traversers/conceptnet/jOOQ/model/tables/Nodes.java,61,61,"public final TableField<NodesRecord, Integer> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false), this, """");",The table uses a generic 'id' column as the primary key while having a unique constraint on 'uri' (NODES_UNIQUE_URI) which could serve as a natural primary key. Consider using 'uri' as the primary key or renaming the synthetic key to something more descriptive like 'node_id'.
jackbergus_java_logicalconsistency,Keyless Entry,oldmodule/src/main/java/org/ufl/hypogator/jackb/traversers/conceptnet/jOOQ/model/tables/RankedFeatures.java,59,59,"public final TableField<RankedFeaturesRecord, Integer> REL_ID = createField(""rel_id"", org.jooq.impl.SQLDataType.INTEGER, this, """");","The column 'rel_id' appears to reference the Relations table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing RELATIONS_PKEY to ensure referential integrity."
jackbergus_java_logicalconsistency,Keyless Entry,oldmodule/src/main/java/org/ufl/hypogator/jackb/traversers/conceptnet/jOOQ/model/tables/RankedFeatures.java,69,69,"public final TableField<RankedFeaturesRecord, Integer> NODE_ID = createField(""node_id"", org.jooq.impl.SQLDataType.INTEGER, this, """");","The column 'node_id' appears to reference the Nodes table but lacks a foreign key constraint, risking data integrity issues with invalid node references. Add a foreign key constraint referencing NODES_PKEY to maintain referential integrity."
