Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
vkuzel_Quantum-Leap,ID Required,core/src/generated/java/cz/quantumleap/core/tables/IncrementTable.java,57,57,"public final TableField<IncrementRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'increment_id'. Consider renaming the column to 'increment_id' to make it self-documenting and avoid ambiguity in queries with joins.
vkuzel_Quantum-Leap,ID Required,core/src/generated/java/cz/quantumleap/core/tables/NotificationTable.java,65,65,"public final TableField<NotificationRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'notification_id'. Consider renaming the column to 'notification_id' to make it self-documenting and avoid ambiguity in JOIN queries.
vkuzel_Quantum-Leap,ID Required,core/src/generated/java/cz/quantumleap/core/tables/PersonRoleTable.java,64,64,"public final TableField<PersonRoleRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","This junction table has a synthetic auto-increment 'id' primary key, but there's already a unique constraint on (person_id, role_id) which would serve as a natural composite primary key. Consider using the composite key PERSON_ROLE_PERSON_ID_ROLE_ID_KEY as the primary key instead, as it naturally identifies the relationship between a person and a role."
vkuzel_Quantum-Leap,ID Required,core/src/generated/java/cz/quantumleap/core/tables/PersonTable.java,67,67,"public final TableField<PersonRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on 'email' (PERSON_EMAIL_KEY) which is a natural key suitable for identifying persons. Consider using 'email' as the primary key or renaming the synthetic key to something more descriptive like 'person_id'."
vkuzel_Quantum-Leap,ID Required,core/src/generated/java/cz/quantumleap/core/tables/RoleTable.java,65,65,"public final TableField<RoleRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-generated primary key 'id' even though there's already a unique constraint on 'name' (ROLE_NAME_KEY) which could serve as a natural primary key. Consider using the 'name' column as the primary key since role names are inherently unique and immutable, eliminating the need for a surrogate key."
vkuzel_Quantum-Leap,ID Required,core/src/generated/java/cz/quantumleap/core/tables/SliceQueryTable.java,63,63,"public final TableField<SliceQueryRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'slice_query_id'. Consider renaming the column to 'slice_query_id' to make foreign key references more self-documenting and to avoid ambiguity in joins.
vkuzel_Quantum-Leap,Implicit Columns,core/src/main/java/cz/quantumleap/core/database/DefaultDetailDao.java,35,35,return dslContext.selectFrom(table),"Using selectFrom(table) fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using select(field1, field2, ...).from(table) instead."
vkuzel_Quantum-Leap,Implicit Columns,core/src/main/java/cz/quantumleap/core/database/DefaultListDao.java,125,125,return dslContext.selectFrom(entity.getTable()),"Using selectFrom() fetches all columns from the table, which retrieves unnecessary data and impacts performance. Replace with an explicit select() specifying only the columns needed for the target type T."
vkuzel_Quantum-Leap,Poor Man's Search Engine,core/src/main/java/cz/quantumleap/core/database/query/QueryUtils.java,78,78,"condition = joinConditions(ConditionOperator.OR, condition, DSL.condition(""unaccent({0}) ~* unaccent({1})"", field, pattern));",Using a regular expression (~*) for word matching performs poorly on large datasets as it cannot utilize standard indexes. Consider using PostgreSQL's full-text search with tsvector/tsquery or a dedicated search engine like Elasticsearch.
vkuzel_Quantum-Leap,Implicit Columns,core/src/main/java/cz/quantumleap/core/person/PersonDao.java,43,43,return dslContext.selectFrom(PERSON),"Using selectFrom(PERSON) fetches all columns from the PERSON table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the Person object."
vkuzel_Quantum-Leap,Implicit Columns,core/src/main/java/cz/quantumleap/core/slicequery/SliceQueryDao.java,29,29,dslContext.select(SLICE_QUERY.fields()),"Using `SLICE_QUERY.fields()` selects all columns from the SLICE_QUERY table, which can lead to unnecessary data transfer and maintenance issues if the table schema changes. Instead, explicitly list only the columns needed for the SliceQuery class."
vkuzel_Quantum-Leap,Implicit Columns,core/src/test/java/cz/quantumleap/core/database/DatabaseFunctionTest.java,37,37,"var sql = ""SELECT * FROM core.generate_intervals(? :: DATE, ? :: DATE, ?)"";","Using SELECT * fetches all columns from the function result, which can break code if the function's return schema changes. Explicitly list the required columns (e.g., SELECT interval_start, interval_end FROM ...) to make the query more robust and self-documenting."
