Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IAgentDao.java,34,34,return dslContext.selectFrom(AGENT),"Using selectFrom(AGENT) fetches all columns from the AGENT table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the AgentPO mapping."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IAgentDao.java,43,43,return dslContext.selectFrom(AGENT),"Using selectFrom(AGENT) fetches all columns from the AGENT table, which may include columns not needed for this query. Consider explicitly selecting only the required columns using select()."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IAgentDao.java,52,52,return dslContext.selectFrom(AGENT),"Using selectFrom(AGENT) retrieves all columns from the AGENT table for all rows, which can be inefficient especially for large tables. Consider selecting only the columns that are actually needed."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IAgentDao.java,60,60,return dslContext.selectFrom(AGENT),Using selectFrom(AGENT) fetches all columns from the AGENT table when filtering by status. Consider using select() with explicit column names to improve query efficiency and clarity.
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IDocDao.java,36,36,return dslContext.selectFrom(DOC),"Using selectFrom(DOC) fetches all columns from the DOC table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the DocPO class."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IDocDao.java,45,45,return dslContext.selectFrom(DOC),"Using selectFrom(DOC) fetches all columns from the DOC table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using select(DOC.ID, DOC.NAME, ...)."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IKgEntityDao.java,37,37,return dslContext.selectFrom(KG_ENTITY),"Using selectFrom(KG_ENTITY) fetches all columns from the kg_entity table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the KgEntityPO object."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IKgEntityDao.java,46,46,return dslContext.selectFrom(KG_ENTITY),"Using selectFrom(KG_ENTITY) fetches all columns from the kg_entity table, which can be inefficient especially when retrieving all records. Consider explicitly selecting only the required columns."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IKgEntityDao.java,54,54,return dslContext.selectFrom(KG_ENTITY),Using selectFrom(KG_ENTITY) fetches all columns from the kg_entity table. Consider using select() with explicit column names to improve query performance and clarity.
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IKgEntityDao.java,63,63,return dslContext.selectFrom(KG_ENTITY),Using selectFrom(KG_ENTITY) fetches all columns from the kg_entity table. Consider explicitly selecting only the columns needed for the result.
zhengzizhe_agent_demo,Poor Man's Search Engine,src/main/java/com/example/ddd/infrastructure/dao/IKgEntityDao.java,64,64,".where(KG_ENTITY.NAME.like(""%"" + name + ""%""))",Using LIKE with wildcards on both sides ('%name%') for text search is inefficient as it cannot use indexes and performs poorly on large datasets. Consider using a full-text search solution like PostgreSQL's tsvector/tsquery or a dedicated search engine like Elasticsearch.
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IMcpDao.java,38,38,return dslContext.selectFrom(MCP),"Using selectFrom(MCP) fetches all columns from the MCP table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the McpPO object."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IMcpDao.java,47,47,return dslContext.selectFrom(MCP),"Using selectFrom(MCP) fetches all columns from the MCP table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the McpPO object."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IMcpDao.java,56,56,return dslContext.selectFrom(MCP),"Using selectFrom(MCP) fetches all columns from the MCP table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the McpPO object."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IMcpDao.java,65,65,return dslContext.selectFrom(MCP),"Using selectFrom(MCP) fetches all columns from the MCP table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the McpPO object."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IMcpDao.java,73,73,return dslContext.selectFrom(MCP),"Using selectFrom(MCP) fetches all columns from the MCP table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the McpPO object."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IModelDao.java,41,41,return dslContext.selectFrom(MODEL),"Using selectFrom(MODEL) fetches all columns from the MODEL table, which may retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns, e.g., dslContext.select(MODEL.ID, MODEL.NAME, ...).from(MODEL)."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IModelDao.java,50,50,return dslContext.selectFrom(MODEL),"Using selectFrom(MODEL) fetches all columns from the MODEL table, which may retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IModelDao.java,59,59,return dslContext.selectFrom(MODEL),"Using selectFrom(MODEL) fetches all columns from the MODEL table, which may retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IModelDao.java,68,68,return dslContext.selectFrom(MODEL),"Using selectFrom(MODEL) fetches all columns from the MODEL table, which may retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns."
zhengzizhe_agent_demo,Implicit Columns,src/main/java/com/example/ddd/infrastructure/dao/IModelDao.java,76,76,return dslContext.selectFrom(MODEL),"Using selectFrom(MODEL) fetches all columns from the MODEL table, which may retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns."
