Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
BlakieSL_SpringJOOQ_DAO,ID Required,src/main/generated/org/example/jooq/generated/tables/Author.java,60,60,"public final TableField<AuthorRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'author_id'. Consider renaming the column to 'author_id' to make foreign key references self-documenting and avoid ambiguity in queries with multiple joined tables.
BlakieSL_SpringJOOQ_DAO,ID Required,src/main/generated/org/example/jooq/generated/tables/Book.java,67,67,"public final TableField<BookRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'book_id'. Consider renaming the column to 'book_id' to make it self-documenting and avoid ambiguity in queries with joins.
BlakieSL_SpringJOOQ_DAO,ID Required,src/main/generated/org/example/jooq/generated/tables/Library.java,62,62,"public final TableField<LibraryRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'library_id'. Consider renaming the column to 'library_id' to make it self-documenting and easier to identify in queries involving multiple tables.
BlakieSL_SpringJOOQ_DAO,ID Required,src/main/generated/org/example/jooq/generated/tables/LibraryInfo.java,61,61,"public final TableField<LibraryInfoRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'library_info_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'library_info_id' or 'library_id' (since this appears to be a 1:1 relationship with Library)."
BlakieSL_SpringJOOQ_DAO,Implicit Columns,src/main/java/org/example/springjooq/repository/implementation/AuthorRepositoryImpl.java,28,28,AuthorPojo author = ctx.selectFrom(AUTHOR),"Using selectFrom(AUTHOR) fetches all columns from the AUTHOR table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the AuthorPojo."
BlakieSL_SpringJOOQ_DAO,Implicit Columns,src/main/java/org/example/springjooq/repository/implementation/AuthorRepositoryImpl.java,37,37,var list = ctx.selectFrom(AUTHOR),Using selectFrom(AUTHOR) fetches all columns from the AUTHOR table for every row. Consider explicitly selecting only the required columns using select() to improve query performance.
BlakieSL_SpringJOOQ_DAO,Implicit Columns,src/main/java/org/example/springjooq/repository/implementation/AuthorRepositoryImpl.java,52,52,"AuthorRecord record = ctx.fetchOne(AUTHOR, AUTHOR.ID.eq(id));","Using fetchOne(AUTHOR, ...) fetches all columns from the AUTHOR table into the record. Consider using selectFrom with explicit column selection if not all columns are needed for the update operation."
BlakieSL_SpringJOOQ_DAO,Implicit Columns,src/main/java/org/example/springjooq/repository/implementation/BookRepositoryImpl.java,25,25,BookPojo book = ctx.selectFrom(BOOK),"Using selectFrom(BOOK) fetches all columns from the BOOK table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the BookPojo."
BlakieSL_SpringJOOQ_DAO,Implicit Columns,src/main/java/org/example/springjooq/repository/implementation/BookRepositoryImpl.java,34,34,var books = ctx.selectFrom(BOOK),Using selectFrom(BOOK) fetches all columns from the BOOK table for every row. Consider explicitly selecting only the required columns using select() to improve query performance.
BlakieSL_SpringJOOQ_DAO,Implicit Columns,src/main/java/org/example/springjooq/repository/implementation/BookRepositoryImpl.java,50,50,"BookRecord record = ctx.fetchOne(BOOK, BOOK.ID.eq(id));","Using fetchOne(BOOK, ...) fetches all columns from the BOOK table into a record. Consider using selectFrom with explicit column selection if not all columns are needed for the update operation."
