Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Subtelny_DGCraft,Implicit Columns,Core-Plugin/core-core/src/main/java/pl/subtelny/core/account/repository/loader/AccountAnemiaLoadAction.java,49,49,return connection.select(),"Using `select()` without specifying columns fetches all columns from the Accounts table, which can retrieve unnecessary data and impact performance. Replace with `select(Accounts.ACCOUNTS.ID, Accounts.ACCOUNTS.NAME, Accounts.ACCOUNTS.DISPLAY_NAME, Accounts.ACCOUNTS.CITY, Accounts.ACCOUNTS.LAST_ONLINE)` to fetch only the required columns."
Subtelny_DGCraft,ID Required,Generated/generated-tables/src/main/java/pl/subtelny/generated/tables/tables/Accounts.java,64,64,"public final TableField<AccountsRecord, UUID> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.UUID.nullable(false), this, """");","The table uses a generic 'id' column as the primary key while a unique constraint on 'name' already exists (ACCOUNTS_NAME_UQ). Since account names are typically immutable identifiers, consider using 'name' as the natural primary key, or rename the primary key column to something more descriptive like 'account_id'."
Subtelny_DGCraft,Keyless Entry,Generated/generated-tables/src/main/java/pl/subtelny/generated/tables/tables/IslandMemberships.java,62,62,"public final TableField<IslandMembershipsRecord, String> ISLAND_ID = createField(DSL.name(""island_id""), org.jooq.impl.SQLDataType.VARCHAR(30).nullable(false), this, """");","The ISLAND_ID column appears to reference the Islands table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Islands table's primary key (ISLANDS_ID_PK)."
Subtelny_DGCraft,ID Required,Generated/generated-tables/src/main/java/pl/subtelny/generated/tables/tables/Islands.java,64,64,"public final TableField<IslandsRecord, Integer> ID = createField(DSL.name(""id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).defaultValue(org.jooq.impl.DSL.field(""nextval('islands_id_seq'::regclass)"", org.jooq.impl.SQLDataType.INTEGER)), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'island_id' to make it more descriptive and to avoid ambiguity in queries with joins."
Subtelny_DGCraft,ID Required,Generated/generated-tables/src/main/java/pl/subtelny/generated/tables/tables/SkyblockIslands.java,63,63,"public final TableField<SkyblockIslandsRecord, Integer> ISLAND_ID = createField(DSL.name(""island_id""), org.jooq.impl.SQLDataType.INTEGER.nullable(false).defaultValue(org.jooq.impl.DSL.field(""nextval('skyblock_islands_island_id_seq'::regclass)"", org.jooq.impl.SQLDataType.INTEGER)), this, """");","The table has a synthetic auto-increment primary key (ISLAND_ID) even though a natural unique constraint on (X, Z) coordinates exists that could serve as the primary key. Since island coordinates are immutable by nature and the composite key is only two columns, consider using (X, Z) as the primary key instead of adding a redundant surrogate key."
Subtelny_DGCraft,Implicit Columns,Islands-Plugin/islands-core/src/main/java/pl/subtelny/islands/api/membership/repository/IslandMembershipRepository.java,51,51,context.selectFrom(IslandMemberships.ISLAND_MEMBERSHIPS),"Using selectFrom() fetches all columns from the ISLAND_MEMBERSHIPS table, which may retrieve unnecessary data. Consider using select() with explicitly named columns that are actually needed for the mapping."
Subtelny_DGCraft,Implicit Columns,Islands-Plugin/islands-core/src/main/java/pl/subtelny/islands/api/membership/repository/IslandMembershipRepository.java,59,59,context.selectFrom(IslandMemberships.ISLAND_MEMBERSHIPS),"Using selectFrom() fetches all columns from the ISLAND_MEMBERSHIPS table, which may retrieve unnecessary data. Consider using select() with explicitly named columns that are actually needed for the mapping."
Subtelny_DGCraft,Implicit Columns,Islands-Plugin/islands-core/src/main/java/pl/subtelny/islands/api/repository/IslandAnemiaLoadAction.java,39,40,"SelectJoinStep<Record> from = connection.select()
        .from(Islands.ISLANDS);","Using `select()` without specifying columns fetches all columns from the Islands table and any joined tables, which retrieves unnecessary data and reduces query performance. Explicitly list only the required columns, e.g., `connection.select(Islands.ISLANDS.ID, Islands.ISLANDS.NAME, ...)`."
Subtelny_DGCraft,Implicit Columns,Islands-Plugin/islands-core/src/main/java/pl/subtelny/islands/islander/repository/loader/IslanderAnemiaLoadAction.java,30,30,return connection.select(),"Using select() without specifying columns fetches all columns from the Islanders table, but only the ID column is actually used. Specify only the required columns explicitly, e.g., connection.select(Islanders.ISLANDERS.ID)."
Subtelny_DGCraft,Implicit Columns,Islands-Plugin/islands-core/src/main/java/pl/subtelny/islands/islander/repository/loader/IslanderAnemiaLoadAction.java,38,38,return connection.select(),"Using select() without specifying columns fetches all columns from the Islanders table, but only the ID column is actually used. Specify only the required columns explicitly, e.g., connection.select(Islanders.ISLANDERS.ID)."
Subtelny_DGCraft,Poor Man's Search Engine,Islands-Plugin/islands-module/islands-module-skyblock/src/main/java/pl/subtelny/islands/module/skyblock/repository/SkyblockIslandCoordinatesLoadAction.java,40,40,.where(Islands.ISLANDS.TYPE.contains(islandType.getInternal())),"The `contains()` method in jOOQ translates to a LIKE '%value%' pattern, which performs a full-text search that cannot use indexes efficiently. Consider using an exact match with `eq()` like in the `perform()` method, or implement proper full-text search if substring matching is truly required."
