Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Tosin-dotcom_notez-backend,Implicit Columns,src/main/java/com/tosin/notez/category/CategoryRepository.java,47,47,return dslContext.selectFrom(Tables.CATEGORIES),"Using selectFrom() fetches all columns from the CATEGORIES table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the CategoryDto mapping."
Tosin-dotcom_notez-backend,Implicit Columns,src/main/java/com/tosin/notez/file/FileRepository.java,66,66,List<FileDto> files = dslContext.selectFrom(Tables.FILES),"Using selectFrom(Tables.FILES) fetches all columns from the FILES table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the FileDto mapping."
Tosin-dotcom_notez-backend,ID Required,src/main/java/com/tosin/notez/jooq/com/tosin/notez/tables/Categories.java,68,68,"public final TableField<CategoriesRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");","The table uses a generic 'id' column as the primary key while a natural unique key already exists on the 'name' column (CATEGORIES_NAME_KEY). Consider using 'name' as the primary key since category names are unique and immutable by nature, or rename the primary key to something more descriptive like 'category_id'."
Tosin-dotcom_notez-backend,ID Required,src/main/java/com/tosin/notez/jooq/com/tosin/notez/tables/Files.java,68,68,"public final TableField<FilesRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'file_id'. Consider renaming the column to 'file_id' to make it self-documenting and avoid ambiguity in queries with joins.
Tosin-dotcom_notez-backend,ID Required,src/main/java/com/tosin/notez/jooq/com/tosin/notez/tables/Notes.java,68,68,"public final TableField<NotesRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'note_id'. Consider renaming the column to 'note_id' to make it self-documenting and avoid ambiguity in queries with joins.
Tosin-dotcom_notez-backend,ID Required,src/main/java/com/tosin/notez/jooq/com/tosin/notez/tables/Users.java,68,68,"public final TableField<UsersRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");","The table uses a synthetic UUID primary key named 'id' even though there are unique constraints on 'email' and 'username' that could serve as natural keys. Consider using 'email' as the primary key since it's already unique and NOT NULL, or rename the primary key to something more descriptive like 'user_id'."
Tosin-dotcom_notez-backend,Poor Man's Search Engine,src/main/java/com/tosin/notez/note/NoteRepository.java,64,65,"conditions.add(Tables.NOTES.TITLE.containsIgnoreCase(searchValue)
        .or(Tables.NOTES.TEXT_CONTENT.containsIgnoreCase(searchValue)));",Using `containsIgnoreCase` (which translates to LIKE '%value%') for searching note titles and text content is inefficient for full-text search as it cannot use indexes and performs poorly on large datasets. Consider using a dedicated full-text search solution like PostgreSQL's tsvector/tsquery or Elasticsearch.
Tosin-dotcom_notez-backend,Implicit Columns,src/main/java/com/tosin/notez/note/NoteRepository.java,72,72,List<NoteDto> notes = dslContext.selectFrom(Tables.NOTES),"Using `selectFrom(Tables.NOTES)` fetches all columns from the NOTES table, which may retrieve unnecessary data and impact performance. Explicitly select only the columns needed for the NoteDto mapping."
Tosin-dotcom_notez-backend,Implicit Columns,src/main/java/com/tosin/notez/note/NoteRepository.java,114,114,.selectFrom(Tables.NOTES),Using `selectFrom(Tables.NOTES)` fetches all columns when only a subset may be needed for recent notes display. Explicitly select only the required columns to improve query performance.
Tosin-dotcom_notez-backend,Implicit Columns,src/main/java/com/tosin/notez/note/NoteRepository.java,151,151,return dslContext.selectFrom(Tables.NOTES),Using `selectFrom(Tables.NOTES)` retrieves all columns from the NOTES table when fetching a single note. Explicitly specify only the columns required for the Notes POJO to reduce data transfer.
Tosin-dotcom_notez-backend,Implicit Columns,src/main/java/com/tosin/notez/user/UserRepository.java,58,58,Optional<Users> optionalUser = usersDao.fetchOptionalByEmail(email);,"The generated DAO method fetches all columns from the USERS table into a Users record, even if only a subset of columns is needed. Consider using a custom jOOQ query that explicitly selects only the required columns."
