Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
arijit98_RestaurentManagementService,Rounding Errors,src/generated-db-entities/java/com/arijit/restaurant/tables/Menu.java,82,82,"public final TableField<MenuRecord, Double> PRICE = createField(DSL.name(""price""), SQLDataType.DOUBLE, this, """");","The PRICE column uses a DOUBLE floating-point type which can cause rounding errors when storing monetary values. Use SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale (e.g., DECIMAL(10,2)) to ensure accurate price calculations."
arijit98_RestaurentManagementService,Keyless Entry,src/generated-db-entities/java/com/arijit/restaurant/tables/OrderItems.java,68,68,"public final TableField<OrderItemsRecord, UUID> MENU_ID = createField(DSL.name(""menu_id""), SQLDataType.UUID.nullable(false), this, """");",The MENU_ID column appears to reference the Menu table but lacks a foreign key constraint. This allows orphaned records where menu_id values don't correspond to existing menu items. Add a foreign key constraint referencing the Menu table's primary key.
arijit98_RestaurentManagementService,Rounding Errors,src/generated-db-entities/java/com/arijit/restaurant/tables/Orders.java,84,84,"public final TableField<OrdersRecord, Double> TOTAL_PRICE = createField(DSL.name(""total_price""), SQLDataType.DOUBLE, this, """");","The TOTAL_PRICE column uses DOUBLE which can cause rounding errors when storing monetary values. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(10,2)) to ensure accurate financial calculations."
arijit98_RestaurentManagementService,ID Required,src/generated-db-entities/java/com/arijit/restaurant/tables/Users.java,67,67,"public final TableField<UsersRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' as the primary key name, while a unique constraint on 'email' already exists (UK6DOTKOTT2KJSP8VW4D0M25FB7). Since email is a natural, virtually immutable identifier for users, consider using it as the primary key instead of the synthetic 'id' column, or at minimum rename 'id' to something more descriptive like 'user_id'."
arijit98_RestaurentManagementService,Implicit Columns,src/main/java/com/arijit/restaurant/menu/MenuRepository.java,24,24,return dslContext.selectFrom(MENU),"Using selectFrom(MENU) fetches all columns from the MENU table, but only a subset of columns are used in mapToMenuItems. Consider using select() with only the required columns: MENU.ID, MENU.ITEM_NAME, MENU.DESCRIPTION, MENU.PRICE, and MENU.RESTAURANT_ID."
arijit98_RestaurentManagementService,Implicit Columns,src/main/java/com/arijit/restaurant/menu/MenuRepository.java,33,33,return dslContext.selectFrom(MENU),"Using selectFrom(MENU) fetches all columns from the MENU table, but only a subset of columns are used in mapToMenuItems. Consider using select() with only the required columns: MENU.ID, MENU.ITEM_NAME, MENU.DESCRIPTION, MENU.PRICE, and MENU.RESTAURANT_ID."
arijit98_RestaurentManagementService,Implicit Columns,src/main/java/com/arijit/restaurant/order/OrderRepository.java,27,27,return dslContext.selectFrom(ORDERS),"Using selectFrom(ORDERS) fetches all columns from the ORDERS table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed, such as dslContext.select(ORDERS.ID, ORDERS.TABLE_ID, ...).from(ORDERS)."
arijit98_RestaurentManagementService,Implicit Columns,src/main/java/com/arijit/restaurant/restaurants/RestaurantRepository.java,31,31,.returning(),"Using `returning()` without specifying columns fetches all columns from the RESTAURANT table. Explicitly list only the columns needed, e.g., `.returning(RESTAURANT.ID, RESTAURANT.NAME, ...)`."
arijit98_RestaurentManagementService,Implicit Columns,src/main/java/com/arijit/restaurant/restaurants/RestaurantRepository.java,38,38,return dslContext.selectFrom(RESTAURANT),"Using `selectFrom(RESTAURANT)` fetches all columns from the RESTAURANT table. Explicitly select only the required columns using `.select(RESTAURANT.ID, RESTAURANT.NAME, ...)` instead."
arijit98_RestaurentManagementService,Implicit Columns,src/main/java/com/arijit/restaurant/restaurants/RestaurantRepository.java,44,44,return dslContext.selectFrom(RESTAURANT),"Using `selectFrom(RESTAURANT)` fetches all columns from the RESTAURANT table. Explicitly select only the required columns using `.select(RESTAURANT.ID, RESTAURANT.NAME, ...)` instead."
