Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
TovarischZhukov_jooq_example,Implicit Columns,examples/src/main/java/example1_simple_read/Main.java,27,27,.select(),"Using select() without specifying columns fetches all columns from the AUTHOR table, which wastes resources by retrieving unnecessary data. Replace with explicit column selection like .select(AUTHOR.ID, AUTHOR.FIRST_NAME, AUTHOR.LAST_NAME)."
TovarischZhukov_jooq_example,Implicit Columns,examples/src/main/java/example10_active_record_fk/Main.java,28,28,"final var records = context.fetch(BOOK, BOOK.PUBLISHED_IN.eq(value));","This query fetches all columns from the BOOK table by using `context.fetch(BOOK, ...)`, which selects all fields. Consider explicitly selecting only the required columns using `context.select(...).from(BOOK).where(...).fetch()`."
TovarischZhukov_jooq_example,Implicit Columns,examples/src/main/java/example10_active_record_fk/Main.java,34,34,context.fetch(BOOK).forEach(System.out::println);,This query fetches all columns from the BOOK table without any projection. Consider explicitly selecting only the columns needed for display using `context.select(...).from(BOOK).fetch()`.
TovarischZhukov_jooq_example,Implicit Columns,examples/src/main/java/example11_transaction/Main.java,37,37,.selectFrom(AUTHOR),"Using selectFrom(AUTHOR) fetches all columns from the AUTHOR table, which may retrieve unnecessary data and reduce performance. Consider explicitly selecting only the required columns using .select(AUTHOR.ID, AUTHOR.FIRST_NAME, AUTHOR.LAST_NAME).from(AUTHOR) instead."
TovarischZhukov_jooq_example,Implicit Columns,examples/src/main/java/example4_select_typed/Main.java,28,28,.select(),"Using select() without specifying columns fetches all columns from both BOOK and AUTHOR tables, which can retrieve unnecessary data and impact performance. Specify only the required columns explicitly, e.g., .select(BOOK.ID, BOOK.TITLE, AUTHOR.NAME)."
TovarischZhukov_jooq_example,Implicit Columns,examples/src/main/java/example4_select_typed/Main.java,40,40,.selectFrom(BOOK),"Using selectFrom(BOOK) fetches all columns from the BOOK table, which may include unnecessary data. Specify only the columns you need, e.g., .select(BOOK.ID, BOOK.TITLE).from(BOOK)."
TovarischZhukov_jooq_example,Implicit Columns,examples/src/main/java/example5_insert/Main.java,37,37,.selectFrom(AUTHOR),"Using selectFrom(AUTHOR) fetches all columns from the AUTHOR table, which may retrieve unnecessary data and reduce performance. Consider explicitly selecting only the required columns using .select(AUTHOR.ID, AUTHOR.FIRST_NAME, AUTHOR.LAST_NAME).from(AUTHOR)."
TovarischZhukov_jooq_example,Implicit Columns,examples/src/main/java/example6_update/Main.java,36,36,.selectFrom(BOOK),"Using selectFrom(BOOK) fetches all columns from the BOOK table, which may retrieve unnecessary data and reduce performance. Consider using select() with only the specific columns needed, e.g., select(BOOK.ID, BOOK.TITLE).from(BOOK)."
TovarischZhukov_jooq_example,Implicit Columns,examples/src/main/java/example7_delete/Main.java,32,32,.selectFrom(AUTHOR),"Using selectFrom(AUTHOR) fetches all columns from the AUTHOR table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed, e.g., context.select(AUTHOR.ID, AUTHOR.NAME).from(AUTHOR)."
TovarischZhukov_jooq_example,Implicit Columns,examples/src/main/java/example8_create_table/Main.java,41,41,".selectFrom(""price"")","Using selectFrom with a table name string selects all columns from the 'price' table, which fetches unnecessary data and couples the code to the table schema. Consider explicitly specifying only the required columns using .select(field1, field2).from(""price"")."
TovarischZhukov_jooq_example,Implicit Columns,examples/src/main/java/example9_activeRecord/Main.java,42,42,"final BookRecord sameBook = context.fetchOne(BOOK, BOOK.ID.eq(id));",Using fetchOne with a table reference fetches all columns from the BOOK table into a record. Consider using selectFrom with explicit column selection or select only the columns you need.
TovarischZhukov_jooq_example,Implicit Columns,examples/src/main/java/example9_activeRecord/Main.java,48,48,context.fetch(BOOK).forEach(System.out::println);,Using fetch with a table reference fetches all columns from the BOOK table. Consider selecting only the specific columns needed for the operation.
TovarischZhukov_jooq_example,Implicit Columns,examples/src/main/java/hikari/Main.java,32,32,.select(),"Using select() without specifying columns fetches all columns from the AUTHOR table, which can retrieve unnecessary data and hurt performance. Replace with explicit column selection like .select(AUTHOR.ID, AUTHOR.FIRST_NAME, AUTHOR.LAST_NAME) to fetch only the columns actually used."
TovarischZhukov_jooq_example,ID Required,jooq-generated/src/main/java/generated/tables/Author.java,57,57,"public final TableField<AuthorRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'author_id' to make it more descriptive and to avoid ambiguity in queries with joins."
TovarischZhukov_jooq_example,ID Required,jooq-generated/src/main/java/generated/tables/Book.java,58,58,"public final TableField<BookRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'book_id'. Consider renaming the column to 'book_id' to make it self-documenting and avoid ambiguity in queries with joins.
