Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
f-uni_Quizzy,ID Required,code/DataBaseLayer/src-generated/it/quizzy/generated/tables/Docenti.java,62,62,"public final TableField<DocentiRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The table uses a generic 'id' column as the primary key instead of a more descriptive name. Consider renaming it to 'docente_id' or 'id_docente' to make the column's purpose clearer and improve readability in queries with joins.
f-uni_Quizzy,ID Required,code/DataBaseLayer/src-generated/it/quizzy/generated/tables/Domande.java,63,63,"public final TableField<DomandeRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity. Consider renaming it to 'domanda_id' or 'id_domanda' to make it more descriptive and avoid ambiguity in joins.
f-uni_Quizzy,ID Required,code/DataBaseLayer/src-generated/it/quizzy/generated/tables/Partite.java,66,66,"public final TableField<PartiteRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'partita_id'. Consider renaming the column to something more meaningful that identifies the entity, such as 'partita_id'."
f-uni_Quizzy,ID Required,code/DataBaseLayer/src-generated/it/quizzy/generated/tables/Quizzies.java,65,65,"public final TableField<QuizziesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'quiz_id' or 'quizzy_id'. Consider renaming the column to include the table name for clarity and to avoid ambiguity in joins.
f-uni_Quizzy,ID Required,code/DataBaseLayer/src-generated/it/quizzy/generated/tables/Utenti.java,63,63,"public final TableField<UtentiRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'utente_id' or 'id_utente' to make it more descriptive and avoid ambiguity in joins."
f-uni_Quizzy,Implicit Columns,code/DataBaseLayer/src/main/java/it/quizzy/databaselayer/models/Docente.java,32,32,"this.record = create.fetchOne(Docenti.DOCENTI, Docenti.DOCENTI.ID.eq(id));","The fetchOne method on a table reference fetches all columns from the DOCENTI table into a record. Consider explicitly selecting only the columns you need using create.selectFrom(Docenti.DOCENTI).where(...) with specific column projections, or if all columns are truly needed, document this intentional choice."
f-uni_Quizzy,Implicit Columns,code/DataBaseLayer/src/main/java/it/quizzy/databaselayer/models/Docente.java,45,45,"this.record = create.fetchOne(Docenti.DOCENTI, Docenti.DOCENTI.EMAIL.eq(email));","The fetchOne method on a table reference fetches all columns from the DOCENTI table into a record. Consider explicitly selecting only the columns you need using create.selectFrom(Docenti.DOCENTI).where(...) with specific column projections, or if all columns are truly needed, document this intentional choice."
f-uni_Quizzy,Implicit Columns,code/DataBaseLayer/src/main/java/it/quizzy/databaselayer/models/domande/DomandaRispostaMultipla.java,35,35,"this.record = create.fetchOne(Domande.DOMANDE, Domande.DOMANDE.ID.eq(id));","Using fetchOne on the table directly fetches all columns from the DOMANDE table, which may retrieve unnecessary data. Consider using selectFrom with explicit column selection or select only the columns needed (e.g., ID, OBJ)."
f-uni_Quizzy,Implicit Columns,code/DataBaseLayer/src/main/java/it/quizzy/databaselayer/models/domande/DomandaVeroFalso.java,35,35,"this.record = create.fetchOne(Domande.DOMANDE, Domande.DOMANDE.ID.eq(id));","Using fetchOne with a table reference fetches all columns from the DOMANDE table, which may retrieve unnecessary data. Consider using selectFrom with explicit column selection or select only the columns needed (e.g., ID, OBJ)."
f-uni_Quizzy,Implicit Columns,code/DataBaseLayer/src/main/java/it/quizzy/databaselayer/models/Partita.java,28,28,"this.record = create.fetchOne(Partite.PARTITE, Partite.PARTITE.ID.eq(id));","Using fetchOne with a table reference fetches all columns from the PARTITE table, which may retrieve unnecessary data. Consider using selectFrom with explicit column selection or select specific columns needed for the operation."
f-uni_Quizzy,Implicit Columns,code/DataBaseLayer/src/main/java/it/quizzy/databaselayer/models/Partita.java,41,41,"this.record = create.fetchOne(Partite.PARTITE, Partite.PARTITE.PIN.eq(pin));","Using fetchOne with a table reference fetches all columns from the PARTITE table, which may retrieve unnecessary data. Consider using selectFrom with explicit column selection or select specific columns needed for the operation."
f-uni_Quizzy,Implicit Columns,code/DataBaseLayer/src/main/java/it/quizzy/databaselayer/models/Quiz.java,33,33,"this.record = create.fetchOne(Quizzies.QUIZZIES, Quizzies.QUIZZIES.ID.eq(id));","Using fetchOne with a table reference fetches all columns from the QUIZZIES table, which may retrieve unnecessary data. Consider using selectFrom with explicit column selection or select only the columns you need."
f-uni_Quizzy,Implicit Columns,code/DataBaseLayer/src/main/java/it/quizzy/databaselayer/models/Utente.java,25,25,"this.record = create.fetchOne(Utenti.UTENTI, Utenti.UTENTI.ID.eq(id));",The fetchOne method with a table reference fetches all columns from the UTENTI table into a record. Consider explicitly selecting only the columns needed using selectFrom() with specific fields or a projection.
