Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
QuantuM1o1_Tinkoff2024Homeworks,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinksRepository.java,48,48,List<LinksRecord> records = this.dslContext.selectFrom(LINKS),"Using selectFrom(LINKS) fetches all columns from the LINKS table into LinksRecord, which may retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns."
QuantuM1o1_Tinkoff2024Homeworks,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinksRepository.java,72,72,List<LinksRecord> records = this.dslContext.selectFrom(LINKS),"Using selectFrom(LINKS) fetches all columns from the LINKS table into LinksRecord, which may retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns."
QuantuM1o1_Tinkoff2024Homeworks,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinksRepository.java,97,97,List<LinksRecord> records = this.dslContext.selectFrom(LINKS),"Using selectFrom(LINKS) fetches all columns from the LINKS table into LinksRecord, which may retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns."
QuantuM1o1_Tinkoff2024Homeworks,Beware of the Unknown,scrapper/src/main/java/edu/java/repository/jooq/JooqUsersArchiveRepository.java,35,35,.where(USERS_ARCHIVE.TG_CHAT_ID.eq(chatId).and(USERS_ARCHIVE.DELETED_AT.isNotNull())),"The condition `DELETED_AT.isNotNull()` appears to be logically inverted - the method `removeUser` likely intends to mark users who haven't been deleted yet (where DELETED_AT IS NULL), but instead it only updates records that already have a deletion timestamp. Change `isNotNull()` to `isNull()` to correctly target active users for deletion."
QuantuM1o1_Tinkoff2024Homeworks,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqUsersLinksRepository.java,45,45,List<LinksRecord> records = this.dslContext.select(LINKS.fields()),"Using LINKS.fields() selects all columns from the LINKS table, which fetches more data than may be needed and couples the code to the table schema. Consider explicitly listing only the required columns (e.g., LINKS.ID, LINKS.URL, LINKS.UPDATED_AT, etc.)."
QuantuM1o1_Tinkoff2024Homeworks,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqUsersLinksRepository.java,72,72,List<UsersRecord> records = this.dslContext.select(USERS.fields()),Using USERS.fields() selects all columns from the USERS table when only TG_CHAT_ID is needed. Replace with an explicit selection of just USERS.TG_CHAT_ID to improve performance and clarity.
QuantuM1o1_Tinkoff2024Homeworks,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqUsersLinksRepository.java,85,85,List<UsersRecord> records = this.dslContext.select(USERS.fields()),Using USERS.fields() selects all columns from the USERS table when only TG_CHAT_ID is needed. Replace with an explicit selection of just USERS.TG_CHAT_ID to improve performance and clarity.
QuantuM1o1_Tinkoff2024Homeworks,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqUsersRepository.java,43,43,List<UsersRecord> records = this.dslContext.selectFrom(USERS),"Using selectFrom(USERS) fetches all columns from the USERS table, but only TG_CHAT_ID is actually used. Consider using select(USERS.TG_CHAT_ID).from(USERS) to fetch only the required column."
QuantuM1o1_Tinkoff2024Homeworks,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqUsersRepository.java,53,53,List<UsersRecord> records = this.dslContext.selectFrom(USERS),"Using selectFrom(USERS) fetches all columns from the USERS table, but only TG_CHAT_ID is actually used. Consider using select(USERS.TG_CHAT_ID).from(USERS) to fetch only the required column."
QuantuM1o1_Tinkoff2024Homeworks,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/Links.java,71,71,"public final TableField<LinksRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'link_id' to make it more meaningful and to avoid ambiguity in queries with joins."
QuantuM1o1_Tinkoff2024Homeworks,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/LinksSites.java,67,67,"public final TableField<LinksSitesRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false), this, """");","The table uses a generic 'ID' column as the primary key, but the 'DOMAIN_NAME' column appears to be a natural key that could serve as the primary key since domain names are unique and immutable by nature. Consider using DOMAIN_NAME as the primary key or renaming the ID column to something more descriptive like 'site_id'."
QuantuM1o1_Tinkoff2024Homeworks,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/UsersArchive.java,69,69,"public final TableField<UsersArchiveRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to something more meaningful like 'users_archive_id' or 'archive_id' to improve clarity when joining tables."
QuantuM1o1_Tinkoff2024Homeworks,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/UsersLinksArchive.java,69,69,"public final TableField<UsersLinksArchiveRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to something more meaningful like 'users_links_archive_id' or 'archive_id' to improve clarity when joining tables."
