Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
r0masaN_PurchaseTask,ID Required,PurchaseTask/backend/src/main/generated-sources/purchasetask/backend/jooq/generated/tables/Customer.java,106,106,"public final TableField<CustomerRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The table uses a generic 'id' column as the primary key instead of a more descriptive name. Consider renaming it to 'customer_id' to make the column's purpose clearer and to follow consistent naming conventions across the database.
r0masaN_PurchaseTask,ID Required,PurchaseTask/backend/src/main/generated-sources/purchasetask/backend/jooq/generated/tables/Lot.java,93,93,"public final TableField<LotRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning and can cause ambiguity in queries with joins. Consider renaming it to 'lot_id' to make it more descriptive and avoid confusion when joining with other tables."
r0masaN_PurchaseTask,Keyless Entry,PurchaseTask/backend/src/main/generated-sources/purchasetask/backend/jooq/generated/tables/Lot.java,63,63,"public final TableField<LotRecord, String> CUSTOMER_CODE = createField(DSL.name(""customer_code""), SQLDataType.VARCHAR.nullable(false), this, """");","The 'customer_code' column appears to reference the Customer table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Customer table to ensure referential integrity."
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/CustomerRepositoryImpl.java,26,26,return dsl.selectFrom(Customer.CUSTOMER),"Using selectFrom() fetches all columns from the CUSTOMER table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for this operation."
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/CustomerRepositoryImpl.java,32,32,final CustomerRecord record = dsl.selectFrom(Customer.CUSTOMER),Using selectFrom() fetches all columns from the CUSTOMER table when only specific fields may be needed. Consider selecting only the required columns explicitly.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/CustomerRepositoryImpl.java,53,53,"case ""orgs"" -> dsl.selectFrom(Customer.CUSTOMER)",Using selectFrom() retrieves all columns from the CUSTOMER table. Specify only the columns that are actually needed to improve query efficiency.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/CustomerRepositoryImpl.java,57,57,"case ""persons"" -> dsl.selectFrom(Customer.CUSTOMER)",Using selectFrom() retrieves all columns from the CUSTOMER table. Specify only the columns that are actually needed to improve query efficiency.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/CustomerRepositoryImpl.java,61,61,default -> dsl.selectFrom(Customer.CUSTOMER),Using selectFrom() retrieves all columns from the CUSTOMER table. Specify only the columns that are actually needed to improve query efficiency.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/CustomerRepositoryImpl.java,69,69,return dsl.selectFrom(Customer.CUSTOMER),Using selectFrom() fetches all columns from the CUSTOMER table. Consider using select() with explicit column names to fetch only required data.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/CustomerRepositoryImpl.java,76,76,return dsl.selectFrom(Customer.CUSTOMER),Using selectFrom() fetches all columns from the CUSTOMER table. Consider using select() with explicit column names to fetch only required data.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/CustomerRepositoryImpl.java,94,94,return dsl.selectFrom(Customer.CUSTOMER),Using selectFrom() fetches all columns from the CUSTOMER table. Consider using select() with explicit column names to fetch only required data.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/LotRepositoryImpl.java,26,26,return dsl.selectFrom(Lot.LOT),"Using selectFrom() fetches all columns from the LOT table into LotRecord, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for this operation."
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/LotRepositoryImpl.java,32,32,final LotRecord record = dsl.selectFrom(Lot.LOT),Using selectFrom() fetches all columns from the LOT table when only specific fields may be needed. Consider selecting only the required columns explicitly.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/LotRepositoryImpl.java,54,54,return dsl.selectFrom(Lot.LOT),Using selectFrom() retrieves all columns from the LOT table. Specify only the columns actually needed by the caller to improve query performance.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/LotRepositoryImpl.java,60,60,return dsl.selectFrom(Lot.LOT),Using selectFrom() fetches all columns from the LOT table implicitly. Consider using an explicit select() with only the required columns.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/LotRepositoryImpl.java,65,65,return dsl.selectFrom(Lot.LOT),Using selectFrom() retrieves all columns from the LOT table. Explicitly select only the columns needed to reduce data transfer and improve performance.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/LotRepositoryImpl.java,70,70,return dsl.selectFrom(Lot.LOT),Using selectFrom() fetches all columns from the LOT table. Specify the required columns explicitly using select() to avoid retrieving unnecessary data.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/LotRepositoryImpl.java,78,78,return dsl.selectFrom(Lot.LOT),Using selectFrom() retrieves all columns from the LOT table implicitly. Consider selecting only the specific columns required by the application.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/LotRepositoryImpl.java,85,85,return dsl.selectFrom(Lot.LOT),Using selectFrom() fetches all columns from the LOT table. Use an explicit column list with select() to fetch only what is needed.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/LotRepositoryImpl.java,92,92,return dsl.selectFrom(Lot.LOT),Using selectFrom() retrieves all columns from the LOT table. Explicitly specify the required columns to improve query efficiency.
r0masaN_PurchaseTask,Implicit Columns,PurchaseTask/backend/src/main/java/purchasetask/backend/repository/impl/LotRepositoryImpl.java,108,108,return dsl.selectFrom(Lot.LOT),Using selectFrom() fetches all columns from the LOT table implicitly. Consider using select() with only the columns needed for the sorted results.
