Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
my1exp_YC_Pay,ID Required,BuyerApi/src/main/java/com/yc_pay/model/dbModels/generated/tables/Currency.java,56,56,"public final TableField<CurrencyRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'currency_id'. Consider renaming the primary key to 'currency_id' to make it more meaningful and easier to identify in queries and foreign key references.
my1exp_YC_Pay,Keyless Entry,BuyerApi/src/main/java/com/yc_pay/model/dbModels/generated/tables/Intent.java,107,107,"public final TableField<IntentRecord, Integer> WALLET_ID = createField(DSL.name(""wallet_id""), SQLDataType.INTEGER, this, """");","The 'wallet_id' column appears to reference another table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Consider adding a foreign key constraint to the wallet table to ensure referential integrity."
my1exp_YC_Pay,Implicit Columns,BuyerApi/src/main/java/com/yc_pay/service/DatabaseService.java,39,39,Result<Record> result = create.select().from(Tables.CURRENCY).fetch();,"Using `select()` without specifying columns fetches all columns from the CURRENCY table, which can retrieve unnecessary data and hurt performance. Explicitly list only the required columns (e.g., `select(Tables.CURRENCY.NAME, Tables.CURRENCY.NETWORK)`)."
my1exp_YC_Pay,Implicit Columns,BuyerApi/src/main/java/com/yc_pay/service/DatabaseService.java,84,84,Result<Record> result = get.select(),"Using `select()` without specifying columns fetches all columns from the INTENT table, even though only specific fields are used. Explicitly list only the required columns like NETWORK, CURRENCY, WALLET_TO, DESTINATION_TAG, STATUS, WALLET_ID, AMOUNT_CRYPTO, AMOUNT_FIAT, MERCHANT_ID, REQUEST_ID, and SESSION_ID."
my1exp_YC_Pay,Implicit Columns,BuyerApi/src/main/java/com/yc_pay/service/DatabaseService.java,136,136,Result<Record> result = get.select(),"Using `select()` without specifying columns fetches all columns from the INTENT table when only MERCHANT_ID, REQUEST_ID, CURRENCY, AMOUNT_CRYPTO, AMOUNT_FIAT, and CREATE_DATE are needed. Explicitly specify only the required columns to improve query efficiency."
my1exp_YC_Pay,ID Required,CryptoManager/src/main/java/com/yc_pay/model/dbModels/generated/tables/CryptoPayments.java,59,59,"public final TableField<CryptoPaymentsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'crypto_payment_id'. Consider renaming the column to better reflect the entity it identifies, which improves clarity in queries involving joins."
my1exp_YC_Pay,Rounding Errors,CryptoManager/src/main/java/com/yc_pay/model/dbModels/generated/tables/CryptoPayments.java,74,74,"public final TableField<CryptoPaymentsRecord, Double> AMOUNT_CRYPTO = createField(DSL.name(""amount_crypto""), SQLDataType.DOUBLE, this, """");",The 'amount_crypto' column uses DOUBLE which can cause precision loss for financial/cryptocurrency values. Use DECIMAL or NUMERIC with appropriate precision and scale to ensure exact representation of monetary amounts.
my1exp_YC_Pay,Rounding Errors,CryptoManager/src/main/java/com/yc_pay/model/dbModels/generated/tables/CryptoPayments.java,89,89,"public final TableField<CryptoPaymentsRecord, Double> PAID_AMOUNT = createField(DSL.name(""paid_amount""), SQLDataType.DOUBLE, this, """");",The 'paid_amount' column uses DOUBLE which can introduce rounding errors for payment amounts. Use DECIMAL or NUMERIC to store exact monetary values and avoid calculation discrepancies.
my1exp_YC_Pay,Rounding Errors,CryptoManager/src/main/java/com/yc_pay/model/dbModels/generated/tables/CryptoPayments.java,114,114,"public final TableField<CryptoPaymentsRecord, Double> AMOUNT_FIAT = createField(DSL.name(""amount_fiat""), SQLDataType.DOUBLE, this, """");","The 'amount_fiat' column uses DOUBLE for storing fiat currency amounts, which can lead to precision errors in financial calculations. Change to DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(19,4)) to ensure accurate monetary representation."
my1exp_YC_Pay,ID Required,CryptoManager/src/main/java/com/yc_pay/model/dbModels/generated/tables/CryptoWallets.java,57,57,"public final TableField<CryptoWalletsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'crypto_wallet_id'. Consider renaming the primary key to 'crypto_wallet_id' to make it self-documenting and easier to identify in queries and foreign key references.
my1exp_YC_Pay,Keyless Entry,CryptoManager/src/main/java/com/yc_pay/model/dbModels/generated/tables/TransactionsHash.java,60,60,"public final TableField<TransactionsHashRecord, Integer> CRYPTO_WALLET_ID = createField(DSL.name(""crypto_wallet_id""), SQLDataType.INTEGER.nullable(false), this, """");","The column 'crypto_wallet_id' appears to reference the 'crypto_wallets' table but lacks a foreign key constraint, which could lead to orphaned records and data integrity issues. Add a foreign key constraint referencing CRYPTO_WALLETS_PKEY to ensure referential integrity."
my1exp_YC_Pay,Keyless Entry,CryptoManager/src/main/java/com/yc_pay/model/dbModels/generated/tables/TransactionsHash.java,65,65,"public final TableField<TransactionsHashRecord, Integer> PAYMENT_ID = createField(DSL.name(""payment_id""), SQLDataType.INTEGER, this, """");","The column 'payment_id' appears to reference the 'crypto_payments' table but lacks a foreign key constraint, risking data integrity violations. Add a foreign key constraint referencing CRYPTO_PAYMENTS_PKEY to maintain referential integrity."
my1exp_YC_Pay,Rounding Errors,CryptoManager/src/main/java/com/yc_pay/model/dbModels/generated/tables/TransactionsHash.java,70,70,"public final TableField<TransactionsHashRecord, Double> RECEIVED_AMOUNT = createField(DSL.name(""received_amount""), SQLDataType.DOUBLE.nullable(false), this, """");",The 'received_amount' column uses DOUBLE which can cause rounding errors when storing monetary or fixed-precision values. Change the column type to DECIMAL or NUMERIC with appropriate precision and scale to ensure accurate calculations.
my1exp_YC_Pay,Implicit Columns,CryptoManager/src/main/java/com/yc_pay/service/DatabaseService.java,50,50,Result<Record> result = postIntent.select(),"Using `select()` without specifying columns fetches all columns from the CRYPTO_WALLETS table, which retrieves unnecessary data like PRIVATE_KEY. Specify only the required column: `.select(CRYPTO_WALLETS.ID)`."
my1exp_YC_Pay,Implicit Columns,CryptoManager/src/main/java/com/yc_pay/service/DatabaseService.java,366,367,"Result<Record> result = getUnidentifiedTransactions.
                        select()","Using `select()` without specifying columns fetches all columns from TRANSACTIONS_HASH, retrieving more data than needed. Explicitly select only the required columns: `TRANSACTIONS_HASH.RECEIVED_AMOUNT` and `TRANSACTIONS_HASH.HASH`."
my1exp_YC_Pay,Implicit Columns,Pricer/src/main/java/com/yc_pay/service/DatabaseService.java,36,36,.select(),"Using `select()` without specifying columns fetches all columns from the CRYPTOPRICE table, but only the PRICE column is actually used. Replace `.select()` with `.select(CRYPTOPRICE.PRICE)` to fetch only the required column."
my1exp_YC_Pay,ID Required,TransactionService/src/main/java/com/yc_pay/model/dbModels/generated/tables/Entries.java,57,57,"public final TableField<EntriesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named generically as 'id' instead of a more descriptive name like 'entry_id'. Consider renaming the primary key to 'entry_id' to make it more meaningful and easier to identify in queries involving multiple tables.
